ID,Label,Prediction,Result
191,Yes.,Yes.,1
192,No.,No.,1
193,Yes.,No.,0
194,No.,No.,1
195,Yes.,Yes.,1
196,No.,No.,1
197,Yes.,No.,0
198,No.,No.,1
199,Yes.,No.,0
200,No.,No.,1
201,Yes.,No.,0
202,No.,Yes.,0
203,Yes.,No.,0
204,No.,No.,1
205,Yes.,No.,0
206,No.,No.,1
207,Yes.,No.,0
208,No.,No.,1
209,Yes.,Yes.,1
210,No.,No.,1
211,Yes.,No.,0
212,No.,No.,1
213,Yes.,No.,0
214,No.,No.,1
215,Yes.,No.,0
216,No.,No.,1
217,Yes.,No.,0
218,No.,No.,1
219,Yes.,Yes.,1
220,No.,Yes.,0
221,Yes.,No.,0
222,No.,No.,1
223,Yes.,No.,0
224,No.,No.,1
225,Yes.,No.,0
226,No.,No.,1
227,Yes.,Yes.,1
228,No.,No.,1
229,Yes.,Yes.,1
230,No.,No.,1
231,Yes.,No.,0
232,No.,No.,1
233,Yes.,No.,0
234,No.,No.,1
235,Yes.,No.,0
236,No.,No.,1
237,Yes.,No.,0
238,No.,No.,1
239,Yes.,No.,0
240,No.,No.,1
241,Yes.,No.,0
242,No.,No.,1
243,Yes.,No.,0
244,No.,No.,1
245,Yes.,No.,0
246,No.,No.,1
247,Yes.,No.,0
248,No.,No.,1
249,Yes.,No.,0
250,No.,No.,1
251,Yes.,Yes.,1
252,No.,Yes.,0
253,Yes.,No.,0
254,No.,No.,1
255,Yes.,No.,0
256,No.,No.,1
257,Yes.,No.,0
258,No.,No.,1
259,Yes.,No.,0
260,No.,No.,1
261,Yes.,No.,0
262,No.,No.,1
263,Yes.,No.,0
264,No.,Yes.,0
265,Yes.,No.,0
266,No.,No.,1
267,Yes.,No.,0
268,No.,Yes.,0
269,Yes.,No.,0
270,No.,No.,1
271,Yes.,Yes.,1
272,No.,Yes.,0
273,Yes.,No.,0
274,No.,No.,1
275,Yes.,Yes.,1
276,No.,No.,1
277,Yes.,Yes.,1
278,No.,No.,1
279,Yes.,Yes.,1
280,No.,No.,1
281,Yes.,No.,0
282,No.,No.,1
283,Yes.,No.,0
284,No.,No.,1
285,Yes.,Yes.,1
286,No.,Yes.,0
287,Yes.,No.,0
288,No.,No.,1
289,Yes.,Yes.,1
290,No.,No.,1
291,Yes.,No.,0
292,No.,No.,1
293,Yes.,No.,0
294,No.,No.,1
295,Yes.,No.,0
296,No.,Yes.,0
297,Yes.,No.,0
298,No.,No.,1
299,Yes.,No.,0
300,No.,Yes.,0
301,Yes.,No.,0
302,No.,No.,1
303,Yes.,No.,0
304,No.,No.,1
305,Yes.,No.,0
306,No.,Yes.,0
307,Yes.,No.,0
308,No.,No.,1
309,Yes.,No.,0
310,No.,Yes.,0
311,Yes.,Yes.,1
312,No.,No.,1
313,Yes.,No.,0
314,No.,No.,1
315,Yes.,No.,0
316,No.,Yes.,0
317,Yes.,No.,0
318,No.,No.,1
319,Yes.,Yes.,1
320,No.,No.,1
321,Yes.,No.,0
322,No.,Yes.,0
323,Yes.,Yes.,1
324,No.,No.,1
325,Yes.,No.,0
326,No.,No.,1
327,Yes.,No.,0
328,No.,No.,1
329,Yes.,No.,0
330,No.,No.,1
331,Yes.,Yes.,1
332,No.,No.,1
333,Yes.,No.,0
334,No.,No.,1
335,Yes.,Yes.,1
336,No.,No.,1
337,Yes.,No.,0
338,No.,No.,1
339,Yes.,Yes.,1
340,No.,No.,1
341,Yes.,Yes.,1
342,No.,No.,1
343,Yes.,No.,0
344,No.,No.,1
345,Yes.,Yes.,1
346,No.,No.,1
347,Yes.,No.,0
348,No.,No.,1
349,Yes.,No.,0
350,No.,No.,1
351,Yes.,Yes.,1
352,No.,No.,1
353,Yes.,No.,0
354,No.,No.,1
355,Yes.,No.,0
356,No.,No.,1
357,Yes.,No.,0
358,No.,Yes.,0
359,Yes.,Yes.,1
360,No.,No.,1
361,Yes.,Yes.,1
362,No.,No.,1
363,Yes.,No.,0
364,No.,No.,1
365,Yes.,No.,0
366,No.,No.,1
367,Yes.,No.,0
368,No.,No.,1
369,Yes.,No.,0
370,No.,No.,1
371,Yes.,No.,0
372,No.,Yes.,0
373,Yes.,No.,0
374,No.,Yes.,0
375,Yes.,No.,0
376,No.,No.,1
377,Yes.,Yes.,1
378,No.,No.,1
379,Yes.,No.,0
380,No.,No.,1
381,Yes.,Yes.,1
382,No.,No.,1
383,Yes.,No.,0
384,No.,No.,1
385,Yes.,Yes.,1
386,No.,No.,1
387,Yes.,No.,0
388,No.,Yes.,0
389,Yes.,Yes.,1
390,No.,No.,1
391,Yes.,No.,0
392,No.,No.,1
393,Yes.,Yes.,1
394,No.,No.,1
395,Yes.,No.,0
396,No.,No.,1
397,Yes.,No.,0
398,No.,Yes.,0
399,Yes.,No.,0
400,No.,No.,1
401,Yes.,No.,0
402,No.,No.,1
403,Yes.,No.,0
404,No.,No.,1
405,Yes.,No.,0
406,No.,No.,1
407,Yes.,No.,0
408,No.,No.,1
409,Yes.,No.,0
410,No.,Yes.,0
411,Yes.,Yes.,1
412,No.,Yes.,0
413,Yes.,No.,0
414,No.,No.,1
415,Yes.,No.,0
416,No.,No.,1
417,Yes.,No.,0
418,No.,Yes.,0
419,Yes.,Yes.,1
420,No.,No.,1
421,Yes.,Yes.,1
422,No.,No.,1
423,Yes.,No.,0
424,No.,No.,1
425,Yes.,No.,0
426,No.,No.,1
427,Yes.,No.,0
428,No.,No.,1
429,Yes.,No.,0
430,No.,No.,1
431,Yes.,Yes.,1
432,No.,No.,1
433,Yes.,Yes.,1
434,No.,No.,1
435,Yes.,Yes.,1
436,No.,No.,1
437,Yes.,Yes.,1
438,No.,No.,1
439,Yes.,Yes.,1
440,No.,No.,1
441,Yes.,No.,0
442,No.,Yes.,0
443,Yes.,No.,0
444,No.,No.,1
445,Yes.,No.,0
446,No.,No.,1
447,Yes.,No.,0
448,No.,No.,1
449,Yes.,No.,0
450,No.,No.,1
451,Yes.,No.,0
452,No.,No.,1
453,Yes.,No.,0
454,No.,No.,1
455,Yes.,No.,0
456,No.,No.,1
457,Yes.,Yes.,1
458,No.,No.,1
459,Yes.,Yes.,1
460,No.,No.,1
461,Yes.,No.,0
462,No.,Yes.,0
463,Yes.,No.,0
464,No.,No.,1
465,Yes.,No.,0
466,No.,No.,1
467,Yes.,No.,0
468,No.,No.,1
469,Yes.,Yes.,1
470,No.,No.,1
471,Yes.,Yes.,1
472,No.,No.,1
473,Yes.,Yes.,1
474,No.,No.,1
475,Yes.,No.,0
476,No.,No.,1
477,Yes.,No.,0
478,No.,Yes.,0
479,Yes.,No.,0
480,No.,Yes.,0
481,Yes.,No.,0
482,No.,No.,1
483,Yes.,No.,0
484,No.,No.,1
485,Yes.,Yes.,1
486,No.,No.,1
487,Yes.,Yes.,1
488,No.,Yes.,0
489,Yes.,No.,0
490,No.,No.,1
491,Yes.,Yes.,1
492,No.,No.,1
493,Yes.,No.,0
494,No.,Yes.,0
495,Yes.,Yes.,1
496,No.,Yes.,0
497,Yes.,No.,0
498,No.,No.,1
499,Yes.,Yes.,1
500,No.,No.,1
501,Yes.,No.,0
502,No.,No.,1
503,Yes.,Yes.,1
504,No.,No.,1
505,Yes.,No.,0
506,No.,Yes.,0
507,Yes.,No.,0
508,No.,No.,1
509,Yes.,No.,0
510,No.,No.,1
511,Yes.,No.,0
512,No.,Yes.,0
513,Yes.,Yes.,1
514,No.,No.,1
515,Yes.,Yes.,1
516,No.,No.,1
517,Yes.,No.,0
518,No.,No.,1
519,Yes.,No.,0
520,No.,No.,1
521,Yes.,No.,0
522,No.,No.,1
523,Yes.,Yes.,1
524,No.,No.,1
525,Yes.,Yes.,1
526,No.,No.,1
527,Yes.,Yes.,1
528,No.,Yes.,0
529,Yes.,No.,0
530,No.,No.,1
531,Yes.,No.,0
532,No.,Yes.,0
533,Yes.,No.,0
534,No.,No.,1
535,Yes.,No.,0
536,No.,Yes.,0
537,Yes.,No.,0
538,No.,No.,1
539,Yes.,Yes.,1
540,No.,No.,1
541,Yes.,No.,0
542,No.,Yes.,0
543,Yes.,No.,0
544,No.,No.,1
545,Yes.,No.,0
546,No.,No.,1
547,Yes.,No.,0
548,No.,No.,1
549,Yes.,Yes.,1
550,No.,No.,1
551,Yes.,No.,0
552,No.,No.,1
553,Yes.,No.,0
554,No.,No.,1
555,Yes.,No.,0
556,No.,No.,1
557,Yes.,No.,0
558,No.,No.,1
559,Yes.,No.,0
560,No.,No.,1
561,Yes.,No.,0
562,No.,No.,1
563,Yes.,Yes.,1
564,No.,No.,1
565,Yes.,No.,0
566,No.,No.,1
567,Yes.,No.,0
568,No.,No.,1
569,Yes.,No.,0
570,No.,No.,1
571,Yes.,No.,0
572,No.,No.,1
573,Yes.,Yes.,1
574,No.,No.,1
575,Yes.,No.,0
576,No.,Yes.,0
577,Yes.,No.,0
578,No.,No.,1
579,Yes.,Yes.,1
580,No.,Yes.,0
581,Yes.,No.,0
582,No.,No.,1
583,Yes.,Yes.,1
584,No.,Yes.,0
585,Yes.,Yes.,1
586,No.,No.,1
587,Yes.,No.,0
588,No.,No.,1
589,Yes.,No.,0
590,No.,No.,1
591,Yes.,No.,0
592,No.,No.,1
593,Yes.,Yes.,1
594,No.,No.,1
595,Yes.,No.,0
596,No.,No.,1
597,Yes.,No.,0
598,No.,No.,1
599,Yes.,No.,0
600,No.,No.,1
601,Yes.,Yes.,1
602,No.,No.,1
603,Yes.,No.,0
604,No.,No.,1
605,Yes.,No.,0
606,No.,No.,1
607,Yes.,No.,0
608,No.,No.,1
609,Yes.,No.,0
610,No.,Yes.,0
611,Yes.,No.,0
612,No.,No.,1
613,Yes.,No.,0
614,No.,No.,1
615,Yes.,No.,0
616,No.,No.,1
617,Yes.,Yes.,1
618,No.,No.,1
619,Yes.,Yes.,1
620,No.,No.,1
621,Yes.,No.,0
622,No.,No.,1
623,Yes.,No.,0
624,No.,No.,1
625,Yes.,No.,0
626,No.,No.,1
627,Yes.,No.,0
628,No.,No.,1
629,Yes.,Yes.,1
630,No.,No.,1
631,Yes.,No.,0
632,No.,No.,1
633,Yes.,No.,0
634,No.,No.,1
635,Yes.,Yes.,1
636,No.,No.,1
637,Yes.,No.,0
638,No.,No.,1
639,Yes.,No.,0
640,No.,No.,1
641,Yes.,No.,0
642,No.,No.,1
643,Yes.,No.,0
644,No.,No.,1
645,Yes.,No.,0
646,No.,No.,1
647,Yes.,No.,0
648,No.,Yes.,0
649,Yes.,No.,0
650,No.,No.,1
651,Yes.,No.,0
652,No.,Yes.,0
653,Yes.,No.,0
654,No.,No.,1
655,Yes.,No.,0
656,No.,No.,1
657,Yes.,No.,0
658,No.,No.,1
659,Yes.,No.,0
660,No.,No.,1
661,Yes.,Yes.,1
662,No.,Yes.,0
663,Yes.,Yes.,1
664,No.,No.,1
665,Yes.,Yes.,1
666,No.,No.,1
667,Yes.,Yes.,1
668,No.,No.,1
669,Yes.,No.,0
670,No.,No.,1
671,Yes.,No.,0
672,No.,No.,1
673,Yes.,No.,0
674,No.,No.,1
675,Yes.,No.,0
676,No.,No.,1
677,Yes.,No.,0
678,No.,No.,1
679,Yes.,No.,0
680,No.,No.,1
681,Yes.,Yes.,1
682,No.,No.,1
683,Yes.,No.,0
684,No.,No.,1
685,Yes.,Yes.,1
686,No.,No.,1
687,Yes.,No.,0
688,No.,No.,1
689,Yes.,No.,0
690,No.,No.,1
691,Yes.,No.,0
692,No.,No.,1
693,Yes.,Yes.,1
694,No.,No.,1
695,Yes.,No.,0
696,No.,No.,1
697,Yes.,No.,0
698,No.,No.,1
699,Yes.,Yes.,1
700,No.,No.,1
701,Yes.,Yes.,1
702,No.,Yes.,0
703,Yes.,Yes.,1
704,No.,Yes.,0
705,Yes.,No.,0
706,No.,No.,1
707,Yes.,Yes.,1
708,No.,Yes.,0
709,Yes.,Yes.,1
710,No.,No.,1
711,Yes.,Yes.,1
712,No.,No.,1
713,Yes.,No.,0
714,No.,No.,1
715,Yes.,No.,0
716,No.,No.,1
717,Yes.,No.,0
718,No.,Yes.,0
719,Yes.,No.,0
720,No.,No.,1
721,Yes.,No.,0
722,No.,Yes.,0
723,Yes.,Yes.,1
724,No.,No.,1
725,Yes.,No.,0
726,No.,No.,1
727,Yes.,No.,0
728,No.,No.,1
729,Yes.,No.,0
730,No.,No.,1
731,Yes.,No.,0
732,No.,No.,1
733,Yes.,No.,0
734,No.,Yes.,0
735,Yes.,Yes.,1
736,No.,No.,1
737,Yes.,No.,0
738,No.,No.,1
739,Yes.,No.,0
740,No.,No.,1
741,Yes.,No.,0
742,No.,No.,1
743,Yes.,No.,0
744,No.,Yes.,0
745,Yes.,Yes.,1
746,No.,No.,1
747,Yes.,No.,0
748,No.,Yes.,0
749,Yes.,No.,0
750,No.,No.,1
751,Yes.,No.,0
752,No.,Yes.,0
753,Yes.,Yes.,1
754,No.,No.,1
755,Yes.,No.,0
756,No.,No.,1
757,Yes.,No.,0
758,No.,No.,1
759,Yes.,Yes.,1
760,No.,No.,1
761,Yes.,Yes.,1
762,No.,Yes.,0
763,Yes.,No.,0
764,No.,No.,1
765,Yes.,No.,0
766,No.,No.,1
767,Yes.,Yes.,1
768,No.,No.,1
769,Yes.,No.,0
770,No.,No.,1
771,Yes.,No.,0
772,No.,Yes.,0
773,Yes.,No.,0
774,No.,Yes.,0
775,Yes.,No.,0
776,No.,No.,1
777,Yes.,No.,0
778,No.,No.,1
779,Yes.,Yes.,1
780,No.,Yes.,0
781,Yes.,No.,0
782,No.,No.,1
783,Yes.,No.,0
784,No.,No.,1
785,Yes.,No.,0
786,No.,No.,1
787,Yes.,No.,0
788,No.,No.,1
789,Yes.,No.,0
790,No.,No.,1
791,Yes.,No.,0
792,No.,No.,1
793,Yes.,No.,0
794,No.,No.,1
795,Yes.,No.,0
796,No.,No.,1
797,Yes.,No.,0
798,No.,No.,1
799,Yes.,No.,0
800,No.,No.,1
801,Yes.,No.,0
802,No.,No.,1
803,Yes.,Yes.,1
804,No.,No.,1
805,Yes.,No.,0
806,No.,No.,1
807,Yes.,No.,0
808,No.,No.,1
809,Yes.,Yes.,1
810,No.,No.,1
811,Yes.,No.,0
812,No.,No.,1
813,Yes.,No.,0
814,No.,No.,1
815,Yes.,No.,0
816,No.,No.,1
817,Yes.,Yes.,1
818,No.,Yes.,0
819,Yes.,Yes.,1
820,No.,No.,1
821,Yes.,Yes.,1
822,No.,No.,1
823,Yes.,No.,0
824,No.,No.,1
825,Yes.,No.,0
826,No.,No.,1
827,Yes.,No.,0
828,No.,No.,1
829,Yes.,No.,0
830,No.,No.,1
831,Yes.,No.,0
832,No.,No.,1
833,Yes.,No.,0
834,No.,No.,1
835,Yes.,No.,0
836,No.,Yes.,0
837,Yes.,No.,0
838,No.,No.,1
839,Yes.,No.,0
840,No.,No.,1
841,Yes.,No.,0
842,No.,No.,1
843,Yes.,No.,0
844,No.,Yes.,0
845,Yes.,Yes.,1
846,No.,No.,1
847,Yes.,No.,0
848,No.,No.,1
849,Yes.,No.,0
850,No.,Yes.,0
851,Yes.,No.,0
852,No.,No.,1
853,Yes.,Yes.,1
854,No.,No.,1
855,Yes.,No.,0
856,No.,Yes.,0
857,Yes.,No.,0
858,No.,No.,1
859,Yes.,No.,0
860,No.,No.,1
861,Yes.,No.,0
862,No.,No.,1
863,Yes.,Yes.,1
864,No.,No.,1
865,Yes.,No.,0
866,No.,No.,1
867,Yes.,Yes.,1
868,No.,No.,1
869,Yes.,Yes.,1
870,No.,Yes.,0
871,Yes.,Yes.,1
872,No.,Yes.,0
873,Yes.,No.,0
874,No.,No.,1
875,Yes.,Yes.,1
876,No.,No.,1
877,Yes.,No.,0
878,No.,No.,1
879,Yes.,No.,0
880,No.,No.,1
881,Yes.,Yes.,1
882,No.,No.,1
883,Yes.,No.,0
884,No.,No.,1
885,Yes.,No.,0
886,No.,No.,1
887,Yes.,No.,0
888,No.,No.,1
889,Yes.,No.,0
890,No.,No.,1
891,Yes.,No.,0
892,No.,No.,1
893,Yes.,Yes.,1
894,No.,Yes.,0
895,Yes.,Yes.,1
896,No.,Yes.,0
897,Yes.,Yes.,1
898,No.,No.,1
899,Yes.,No.,0
900,No.,No.,1
901,Yes.,Yes.,1
902,No.,No.,1
903,Yes.,No.,0
904,No.,No.,1
905,Yes.,No.,0
906,No.,No.,1
907,Yes.,Yes.,1
908,No.,No.,1
909,Yes.,No.,0
910,No.,No.,1
911,Yes.,No.,0
912,No.,No.,1
913,Yes.,Yes.,1
914,No.,No.,1
915,Yes.,No.,0
916,No.,No.,1
917,Yes.,Yes.,1
918,No.,No.,1
919,Yes.,No.,0
920,No.,No.,1
921,Yes.,No.,0
922,No.,No.,1
923,Yes.,No.,0
924,No.,No.,1
925,Yes.,Yes.,1
926,No.,No.,1
927,Yes.,Yes.,1
928,No.,No.,1
929,Yes.,No.,0
930,No.,No.,1
931,Yes.,No.,0
932,No.,No.,1
933,Yes.,No.,0
934,No.,No.,1
935,Yes.,No.,0
936,No.,No.,1
937,Yes.,Yes.,1
938,No.,No.,1
939,Yes.,No.,0
940,No.,No.,1
941,Yes.,No.,0
942,No.,No.,1
943,Yes.,No.,0
944,No.,Yes.,0
945,Yes.,No.,0
946,No.,No.,1
947,Yes.,No.,0
948,No.,No.,1
949,Yes.,No.,0
950,No.,No.,1
951,Yes.,No.,0
952,No.,No.,1
953,Yes.,No.,0
954,No.,No.,1
955,Yes.,No.,0
956,No.,No.,1
957,Yes.,No.,0
958,No.,No.,1
959,Yes.,No.,0
960,No.,No.,1
961,Yes.,No.,0
962,No.,No.,1
963,Yes.,No.,0
964,No.,No.,1
965,Yes.,Yes.,1
966,No.,No.,1
967,Yes.,Yes.,1
968,No.,No.,1
969,Yes.,No.,0
970,No.,No.,1
971,Yes.,No.,0
972,No.,No.,1
973,Yes.,No.,0
974,No.,Yes.,0
975,Yes.,No.,0
976,No.,Yes.,0
977,Yes.,No.,0
978,No.,No.,1
979,Yes.,Yes.,1
980,No.,No.,1
981,Yes.,No.,0
982,No.,Yes.,0
983,Yes.,No.,0
984,No.,No.,1
985,Yes.,Yes.,1
986,No.,No.,1
987,Yes.,No.,0
988,No.,No.,1
989,Yes.,No.,0
990,No.,Yes.,0
991,Yes.,No.,0
992,No.,No.,1
993,Yes.,No.,0
994,No.,No.,1
995,Yes.,No.,0
996,No.,No.,1
997,Yes.,No.,0
998,No.,No.,1
999,Yes.,No.,0
1000,No.,No.,1
1001,Yes.,No.,0
1002,No.,No.,1
1003,Yes.,No.,0
1004,No.,No.,1
1005,Yes.,Yes.,1
1006,No.,No.,1
1007,Yes.,Yes.,1
1008,No.,No.,1
1009,Yes.,No.,0
1010,No.,No.,1
1011,Yes.,No.,0
1012,No.,No.,1
1013,Yes.,Yes.,1
1014,No.,No.,1
1015,Yes.,No.,0
1016,No.,No.,1
1017,Yes.,Yes.,1
1018,No.,No.,1
1019,Yes.,No.,0
1020,No.,No.,1
1021,Yes.,No.,0
1022,No.,No.,1
1023,Yes.,No.,0
1024,No.,No.,1
