ID,Label,Prediction,Result
269,Yes.,Yes.,1
270,No.,Yes.,0
271,Yes.,No.,0
272,No.,No.,1
273,Yes.,No.,0
274,No.,No.,1
275,Yes.,Yes.,1
276,No.,Yes.,0
277,Yes.,Yes.,1
278,No.,No.,1
279,Yes.,Yes.,1
280,No.,Yes.,0
281,Yes.,Yes.,1
282,No.,No.,1
283,Yes.,Yes.,1
284,No.,Yes.,0
285,Yes.,Yes.,1
286,No.,Yes.,0
287,Yes.,Yes.,1
288,No.,No.,1
289,Yes.,No.,0
290,No.,Yes.,0
291,Yes.,Yes.,1
292,No.,No.,1
293,Yes.,No.,0
294,No.,No.,1
295,Yes.,Yes.,1
296,No.,Yes.,0
297,Yes.,Yes.,1
298,No.,Yes.,0
299,Yes.,No.,0
300,No.,Yes.,0
301,Yes.,No.,0
302,No.,Yes.,0
303,Yes.,No.,0
304,No.,Yes.,0
305,Yes.,No.,0
306,No.,Yes.,0
307,Yes.,No.,0
308,No.,No.,1
309,Yes.,Yes.,1
310,No.,Yes.,0
311,Yes.,Yes.,1
312,No.,Yes.,0
313,Yes.,Yes.,1
314,No.,Yes.,0
315,Yes.,No.,0
316,No.,No.,1
317,Yes.,Yes.,1
318,No.,No.,1
319,Yes.,Yes.,1
320,No.,Yes.,0
321,Yes.,No.,0
322,No.,No.,1
323,Yes.,Yes.,1
324,No.,No.,1
325,Yes.,No.,0
326,No.,Yes.,0
327,Yes.,No.,0
328,No.,Yes.,0
329,Yes.,No.,0
330,No.,Yes.,0
331,Yes.,Yes.,1
332,No.,No.,1
333,Yes.,No.,0
334,No.,No.,1
335,Yes.,Yes.,1
336,No.,No.,1
337,Yes.,No.,0
338,No.,Yes.,0
339,Yes.,Yes.,1
340,No.,No.,1
341,Yes.,Yes.,1
342,No.,Yes.,0
343,Yes.,No.,0
344,No.,Yes.,0
345,Yes.,Yes.,1
346,No.,No.,1
347,Yes.,No.,0
348,No.,No.,1
349,Yes.,Yes.,1
350,No.,No.,1
351,Yes.,Yes.,1
352,No.,Yes.,0
353,Yes.,Yes.,1
354,No.,No.,1
355,Yes.,Yes.,1
356,No.,Yes.,0
357,Yes.,Yes.,1
358,No.,Yes.,0
359,Yes.,Yes.,1
360,No.,No.,1
361,Yes.,Yes.,1
362,No.,Yes.,0
363,Yes.,No.,0
364,No.,No.,1
365,Yes.,Yes.,1
366,No.,Yes.,0
367,Yes.,Yes.,1
368,No.,Yes.,0
369,Yes.,No.,0
370,No.,Yes.,0
371,Yes.,Yes.,1
372,No.,Yes.,0
373,Yes.,Yes.,1
374,No.,Yes.,0
375,Yes.,Yes.,1
376,No.,Yes.,0
377,Yes.,Yes.,1
378,No.,Yes.,0
379,Yes.,Yes.,1
380,No.,Yes.,0
381,Yes.,Yes.,1
382,No.,Yes.,0
383,Yes.,No.,0
384,No.,Yes.,0
385,Yes.,Yes.,1
386,No.,Yes.,0
387,Yes.,No.,0
388,No.,Yes.,0
389,Yes.,Yes.,1
390,No.,Yes.,0
391,Yes.,No.,0
392,No.,No.,1
393,Yes.,Yes.,1
394,No.,No.,1
395,Yes.,No.,0
396,No.,No.,1
397,Yes.,No.,0
398,No.,Yes.,0
399,Yes.,Yes.,1
400,No.,Yes.,0
401,Yes.,Yes.,1
402,No.,Yes.,0
403,Yes.,No.,0
404,No.,Yes.,0
405,Yes.,Yes.,1
406,No.,No.,1
407,Yes.,Yes.,1
408,No.,Yes.,0
409,Yes.,Yes.,1
410,No.,Yes.,0
411,Yes.,Yes.,1
412,No.,Yes.,0
413,Yes.,Yes.,1
414,No.,Yes.,0
415,Yes.,No.,0
416,No.,Yes.,0
417,Yes.,No.,0
418,No.,Yes.,0
419,Yes.,Yes.,1
420,No.,No.,1
421,Yes.,Yes.,1
422,No.,Yes.,0
423,Yes.,No.,0
424,No.,No.,1
425,Yes.,No.,0
426,No.,Yes.,0
427,Yes.,Yes.,1
428,No.,No.,1
429,Yes.,No.,0
430,No.,Yes.,0
431,Yes.,Yes.,1
432,No.,Yes.,0
433,Yes.,Yes.,1
434,No.,Yes.,0
435,Yes.,Yes.,1
436,No.,Yes.,0
437,Yes.,Yes.,1
438,No.,No.,1
439,Yes.,Yes.,1
440,No.,Yes.,0
441,Yes.,No.,0
442,No.,No.,1
443,Yes.,Yes.,1
444,No.,Yes.,0
445,Yes.,No.,0
446,No.,No.,1
447,Yes.,Yes.,1
448,No.,Yes.,0
449,Yes.,Yes.,1
450,No.,Yes.,0
451,Yes.,No.,0
452,No.,No.,1
453,Yes.,No.,0
454,No.,No.,1
455,Yes.,No.,0
456,No.,Yes.,0
457,Yes.,Yes.,1
458,No.,No.,1
459,Yes.,Yes.,1
460,No.,Yes.,0
461,Yes.,Yes.,1
462,No.,Yes.,0
463,Yes.,No.,0
464,No.,Yes.,0
465,Yes.,No.,0
466,No.,Yes.,0
467,Yes.,No.,0
468,No.,Yes.,0
469,Yes.,No.,0
470,No.,Yes.,0
471,Yes.,Yes.,1
472,No.,No.,1
473,Yes.,Yes.,1
474,No.,No.,1
475,Yes.,No.,0
476,No.,No.,1
477,Yes.,No.,0
478,No.,Yes.,0
479,Yes.,Yes.,1
480,No.,Yes.,0
481,Yes.,No.,0
482,No.,No.,1
483,Yes.,Yes.,1
484,No.,No.,1
485,Yes.,No.,0
486,No.,No.,1
487,Yes.,Yes.,1
488,No.,Yes.,0
489,Yes.,Yes.,1
490,No.,No.,1
491,Yes.,No.,0
492,No.,Yes.,0
493,Yes.,No.,0
494,No.,Yes.,0
495,Yes.,Yes.,1
496,No.,Yes.,0
497,Yes.,Yes.,1
498,No.,No.,1
499,Yes.,Yes.,1
500,No.,Yes.,0
501,Yes.,Yes.,1
502,No.,No.,1
503,Yes.,Yes.,1
504,No.,No.,1
505,Yes.,No.,0
506,No.,Yes.,0
507,Yes.,No.,0
508,No.,Yes.,0
509,Yes.,Yes.,1
510,No.,No.,1
511,Yes.,No.,0
512,No.,Yes.,0
513,Yes.,Yes.,1
514,No.,No.,1
515,Yes.,Yes.,1
516,No.,No.,1
517,Yes.,No.,0
518,No.,No.,1
519,Yes.,No.,0
520,No.,No.,1
521,Yes.,No.,0
522,No.,No.,1
523,Yes.,Yes.,1
524,No.,No.,1
525,Yes.,Yes.,1
526,No.,No.,1
527,Yes.,Yes.,1
528,No.,Yes.,0
529,Yes.,No.,0
530,No.,No.,1
531,Yes.,Yes.,1
532,No.,Yes.,0
533,Yes.,Yes.,1
534,No.,No.,1
535,Yes.,No.,0
536,No.,Yes.,0
537,Yes.,Yes.,1
538,No.,No.,1
539,Yes.,Yes.,1
540,No.,No.,1
541,Yes.,No.,0
542,No.,No.,1
543,Yes.,No.,0
544,No.,No.,1
545,Yes.,Yes.,1
546,No.,Yes.,0
547,Yes.,Yes.,1
548,No.,Yes.,0
549,Yes.,No.,0
550,No.,No.,1
551,Yes.,Yes.,1
552,No.,No.,1
553,Yes.,No.,0
554,No.,Yes.,0
555,Yes.,Yes.,1
556,No.,No.,1
557,Yes.,No.,0
558,No.,No.,1
559,Yes.,No.,0
560,No.,Yes.,0
561,Yes.,No.,0
562,No.,No.,1
563,Yes.,No.,0
564,No.,Yes.,0
565,Yes.,No.,0
566,No.,Yes.,0
567,Yes.,No.,0
568,No.,No.,1
569,Yes.,No.,0
570,No.,Yes.,0
571,Yes.,Yes.,1
572,No.,Yes.,0
573,Yes.,Yes.,1
574,No.,Yes.,0
575,Yes.,No.,0
576,No.,Yes.,0
577,Yes.,No.,0
578,No.,Yes.,0
579,Yes.,No.,0
580,No.,No.,1
581,Yes.,Yes.,1
582,No.,No.,1
583,Yes.,Yes.,1
584,No.,Yes.,0
585,Yes.,Yes.,1
586,No.,No.,1
587,Yes.,Yes.,1
588,No.,Yes.,0
589,Yes.,Yes.,1
590,No.,No.,1
591,Yes.,Yes.,1
592,No.,Yes.,0
593,Yes.,No.,0
594,No.,No.,1
595,Yes.,No.,0
596,No.,No.,1
597,Yes.,Yes.,1
598,No.,Yes.,0
599,Yes.,Yes.,1
600,No.,No.,1
601,Yes.,Yes.,1
602,No.,Yes.,0
603,Yes.,No.,0
604,No.,Yes.,0
605,Yes.,No.,0
606,No.,Yes.,0
607,Yes.,Yes.,1
608,No.,Yes.,0
609,Yes.,Yes.,1
610,No.,Yes.,0
611,Yes.,No.,0
612,No.,Yes.,0
613,Yes.,No.,0
614,No.,Yes.,0
615,Yes.,Yes.,1
616,No.,No.,1
617,Yes.,No.,0
618,No.,Yes.,0
619,Yes.,Yes.,1
620,No.,No.,1
621,Yes.,Yes.,1
622,No.,No.,1
623,Yes.,Yes.,1
624,No.,No.,1
625,Yes.,No.,0
626,No.,No.,1
627,Yes.,No.,0
628,No.,No.,1
629,Yes.,Yes.,1
630,No.,No.,1
631,Yes.,Yes.,1
632,No.,No.,1
633,Yes.,No.,0
634,No.,No.,1
635,Yes.,Yes.,1
636,No.,Yes.,0
637,Yes.,Yes.,1
638,No.,No.,1
639,Yes.,No.,0
640,No.,No.,1
641,Yes.,Yes.,1
642,No.,Yes.,0
643,Yes.,No.,0
644,No.,No.,1
645,Yes.,No.,0
646,No.,No.,1
647,Yes.,No.,0
648,No.,No.,1
649,Yes.,Yes.,1
650,No.,Yes.,0
651,Yes.,Yes.,1
652,No.,Yes.,0
653,Yes.,Yes.,1
654,No.,No.,1
655,Yes.,No.,0
656,No.,Yes.,0
657,Yes.,Yes.,1
658,No.,No.,1
659,Yes.,Yes.,1
660,No.,No.,1
661,Yes.,Yes.,1
662,No.,Yes.,0
663,Yes.,Yes.,1
664,No.,No.,1
665,Yes.,Yes.,1
666,No.,No.,1
667,Yes.,Yes.,1
668,No.,No.,1
669,Yes.,No.,0
670,No.,No.,1
671,Yes.,No.,0
672,No.,Yes.,0
673,Yes.,No.,0
674,No.,No.,1
675,Yes.,No.,0
676,No.,No.,1
677,Yes.,No.,0
678,No.,No.,1
679,Yes.,No.,0
680,No.,Yes.,0
681,Yes.,Yes.,1
682,No.,No.,1
683,Yes.,Yes.,1
684,No.,Yes.,0
685,Yes.,Yes.,1
686,No.,No.,1
687,Yes.,No.,0
688,No.,No.,1
689,Yes.,No.,0
690,No.,Yes.,0
691,Yes.,Yes.,1
692,No.,No.,1
693,Yes.,Yes.,1
694,No.,Yes.,0
695,Yes.,No.,0
696,No.,Yes.,0
697,Yes.,Yes.,1
698,No.,Yes.,0
699,Yes.,Yes.,1
700,No.,No.,1
701,Yes.,Yes.,1
702,No.,Yes.,0
703,Yes.,Yes.,1
704,No.,Yes.,0
705,Yes.,Yes.,1
706,No.,No.,1
707,Yes.,Yes.,1
708,No.,Yes.,0
709,Yes.,Yes.,1
710,No.,No.,1
711,Yes.,No.,0
712,No.,Yes.,0
713,Yes.,Yes.,1
714,No.,Yes.,0
715,Yes.,No.,0
716,No.,No.,1
717,Yes.,No.,0
718,No.,Yes.,0
719,Yes.,No.,0
720,No.,No.,1
721,Yes.,No.,0
722,No.,Yes.,0
723,Yes.,Yes.,1
724,No.,No.,1
725,Yes.,No.,0
726,No.,Yes.,0
727,Yes.,Yes.,1
728,No.,Yes.,0
729,Yes.,No.,0
730,No.,No.,1
731,Yes.,No.,0
732,No.,No.,1
733,Yes.,Yes.,1
734,No.,Yes.,0
735,Yes.,Yes.,1
736,No.,No.,1
737,Yes.,No.,0
738,No.,No.,1
739,Yes.,No.,0
740,No.,No.,1
741,Yes.,No.,0
742,No.,Yes.,0
743,Yes.,Yes.,1
744,No.,No.,1
745,Yes.,No.,0
746,No.,Yes.,0
747,Yes.,Yes.,1
748,No.,Yes.,0
749,Yes.,No.,0
750,No.,No.,1
751,Yes.,No.,0
752,No.,Yes.,0
753,Yes.,Yes.,1
754,No.,No.,1
755,Yes.,Yes.,1
756,No.,No.,1
757,Yes.,Yes.,1
758,No.,Yes.,0
759,Yes.,Yes.,1
760,No.,Yes.,0
761,Yes.,Yes.,1
762,No.,Yes.,0
763,Yes.,No.,0
764,No.,No.,1
765,Yes.,No.,0
766,No.,No.,1
767,Yes.,No.,0
768,No.,No.,1
769,Yes.,Yes.,1
770,No.,No.,1
771,Yes.,No.,0
772,No.,Yes.,0
773,Yes.,Yes.,1
774,No.,Yes.,0
775,Yes.,No.,0
776,No.,Yes.,0
777,Yes.,Yes.,1
778,No.,No.,1
779,Yes.,No.,0
780,No.,Yes.,0
781,Yes.,No.,0
782,No.,Yes.,0
783,Yes.,No.,0
784,No.,No.,1
785,Yes.,No.,0
786,No.,Yes.,0
787,Yes.,Yes.,1
788,No.,No.,1
789,Yes.,No.,0
790,No.,No.,1
791,Yes.,Yes.,1
792,No.,No.,1
793,Yes.,Yes.,1
794,No.,Yes.,0
795,Yes.,Yes.,1
796,No.,Yes.,0
797,Yes.,Yes.,1
798,No.,No.,1
799,Yes.,Yes.,1
800,No.,Yes.,0
801,Yes.,Yes.,1
802,No.,No.,1
803,Yes.,Yes.,1
804,No.,No.,1
805,Yes.,Yes.,1
806,No.,Yes.,0
807,Yes.,Yes.,1
808,No.,Yes.,0
809,Yes.,Yes.,1
810,No.,Yes.,0
811,Yes.,No.,0
812,No.,Yes.,0
813,Yes.,Yes.,1
814,No.,Yes.,0
815,Yes.,No.,0
816,No.,Yes.,0
817,Yes.,Yes.,1
818,No.,Yes.,0
819,Yes.,Yes.,1
820,No.,No.,1
821,Yes.,Yes.,1
822,No.,No.,1
823,Yes.,Yes.,1
824,No.,No.,1
825,Yes.,No.,0
826,No.,Yes.,0
827,Yes.,No.,0
828,No.,No.,1
829,Yes.,Yes.,1
830,No.,No.,1
831,Yes.,No.,0
832,No.,No.,1
833,Yes.,Yes.,1
834,No.,No.,1
835,Yes.,No.,0
836,No.,No.,1
837,Yes.,Yes.,1
838,No.,No.,1
839,Yes.,Yes.,1
840,No.,Yes.,0
841,Yes.,Yes.,1
842,No.,No.,1
843,Yes.,Yes.,1
844,No.,Yes.,0
845,Yes.,Yes.,1
846,No.,No.,1
847,Yes.,No.,0
848,No.,Yes.,0
849,Yes.,No.,0
850,No.,Yes.,0
851,Yes.,No.,0
852,No.,Yes.,0
853,Yes.,Yes.,1
854,No.,No.,1
855,Yes.,Yes.,1
856,No.,Yes.,0
857,Yes.,No.,0
858,No.,No.,1
859,Yes.,No.,0
860,No.,No.,1
861,Yes.,Yes.,1
862,No.,No.,1
863,Yes.,Yes.,1
864,No.,Yes.,0
865,Yes.,Yes.,1
866,No.,Yes.,0
867,Yes.,Yes.,1
868,No.,No.,1
869,Yes.,Yes.,1
870,No.,Yes.,0
871,Yes.,No.,0
872,No.,Yes.,0
873,Yes.,No.,0
874,No.,Yes.,0
875,Yes.,Yes.,1
876,No.,No.,1
877,Yes.,Yes.,1
878,No.,No.,1
879,Yes.,No.,0
880,No.,Yes.,0
881,Yes.,Yes.,1
882,No.,Yes.,0
883,Yes.,Yes.,1
884,No.,No.,1
885,Yes.,No.,0
886,No.,No.,1
887,Yes.,Yes.,1
888,No.,No.,1
889,Yes.,No.,0
890,No.,No.,1
891,Yes.,No.,0
892,No.,No.,1
893,Yes.,Yes.,1
894,No.,Yes.,0
895,Yes.,No.,0
896,No.,Yes.,0
897,Yes.,Yes.,1
898,No.,No.,1
899,Yes.,No.,0
900,No.,Yes.,0
901,Yes.,Yes.,1
902,No.,Yes.,0
903,Yes.,Yes.,1
904,No.,Yes.,0
905,Yes.,No.,0
906,No.,Yes.,0
907,Yes.,No.,0
908,No.,No.,1
909,Yes.,No.,0
910,No.,No.,1
911,Yes.,Yes.,1
912,No.,No.,1
913,Yes.,No.,0
914,No.,No.,1
915,Yes.,No.,0
916,No.,No.,1
917,Yes.,Yes.,1
918,No.,Yes.,0
919,Yes.,Yes.,1
920,No.,No.,1
921,Yes.,Yes.,1
922,No.,No.,1
923,Yes.,Yes.,1
924,No.,No.,1
925,Yes.,Yes.,1
926,No.,Yes.,0
927,Yes.,Yes.,1
928,No.,Yes.,0
929,Yes.,No.,0
930,No.,No.,1
931,Yes.,No.,0
932,No.,Yes.,0
933,Yes.,No.,0
934,No.,Yes.,0
935,Yes.,Yes.,1
936,No.,No.,1
937,Yes.,Yes.,1
938,No.,Yes.,0
939,Yes.,No.,0
940,No.,Yes.,0
941,Yes.,No.,0
942,No.,Yes.,0
943,Yes.,No.,0
944,No.,No.,1
945,Yes.,No.,0
946,No.,No.,1
947,Yes.,No.,0
948,No.,No.,1
949,Yes.,Yes.,1
950,No.,No.,1
951,Yes.,No.,0
952,No.,Yes.,0
953,Yes.,Yes.,1
954,No.,Yes.,0
955,Yes.,Yes.,1
956,No.,Yes.,0
957,Yes.,No.,0
958,No.,No.,1
959,Yes.,No.,0
960,No.,No.,1
961,Yes.,Yes.,1
962,No.,No.,1
963,Yes.,Yes.,1
964,No.,Yes.,0
965,Yes.,Yes.,1
966,No.,Yes.,0
967,Yes.,Yes.,1
968,No.,No.,1
969,Yes.,Yes.,1
970,No.,No.,1
971,Yes.,Yes.,1
972,No.,No.,1
973,Yes.,Yes.,1
974,No.,Yes.,0
975,Yes.,No.,0
976,No.,Yes.,0
977,Yes.,No.,0
978,No.,No.,1
979,Yes.,Yes.,1
980,No.,Yes.,0
981,Yes.,No.,0
982,No.,Yes.,0
983,Yes.,Yes.,1
984,No.,No.,1
985,Yes.,Yes.,1
986,No.,No.,1
987,Yes.,Yes.,1
988,No.,Yes.,0
989,Yes.,No.,0
990,No.,No.,1
991,Yes.,Yes.,1
992,No.,No.,1
993,Yes.,No.,0
994,No.,Yes.,0
995,Yes.,Yes.,1
996,No.,No.,1
997,Yes.,Yes.,1
998,No.,No.,1
999,Yes.,Yes.,1
1000,No.,No.,1
1001,Yes.,Yes.,1
1002,No.,No.,1
1003,Yes.,No.,0
1004,No.,Yes.,0
1005,Yes.,Yes.,1
1006,No.,No.,1
1007,Yes.,Yes.,1
1008,No.,No.,1
1009,Yes.,No.,0
1010,No.,No.,1
1011,Yes.,Yes.,1
1012,No.,No.,1
1013,Yes.,Yes.,1
1014,No.,No.,1
1015,Yes.,Yes.,1
1016,No.,Yes.,0
1017,Yes.,Yes.,1
1018,No.,Yes.,0
1019,Yes.,Yes.,1
1020,No.,Yes.,0
1021,Yes.,Yes.,1
1022,No.,No.,1
1023,Yes.,No.,0
1024,No.,Yes.,0
