ID,Label,Prediction,Result
278,No.,Yes.,0
279,Yes.,No.,0
280,No.,No.,1
281,Yes.,Yes.,1
282,No.,Yes.,0
283,Yes.,Yes.,1
284,No.,No.,1
285,Yes.,No.,0
286,No.,Yes.,0
287,Yes.,No.,0
288,No.,No.,1
289,Yes.,Yes.,1
290,No.,Yes.,0
291,Yes.,No.,0
292,No.,Yes.,0
293,Yes.,Yes.,1
294,No.,No.,1
295,Yes.,Yes.,1
296,No.,No.,1
297,Yes.,No.,0
298,No.,Yes.,0
299,Yes.,No.,0
300,No.,No.,1
301,Yes.,Yes.,1
302,No.,No.,1
303,Yes.,Yes.,1
304,No.,No.,1
305,Yes.,No.,0
306,No.,Yes.,0
307,Yes.,No.,0
308,No.,No.,1
309,Yes.,No.,0
310,No.,No.,1
311,Yes.,No.,0
312,No.,Yes.,0
313,Yes.,No.,0
314,No.,Yes.,0
315,Yes.,No.,0
316,No.,Yes.,0
317,Yes.,Yes.,1
318,No.,No.,1
319,Yes.,Yes.,1
320,No.,No.,1
321,Yes.,Yes.,1
322,No.,No.,1
323,Yes.,Yes.,1
324,No.,No.,1
325,Yes.,No.,0
326,No.,Yes.,0
327,Yes.,No.,0
328,No.,No.,1
329,Yes.,No.,0
330,No.,Yes.,0
331,Yes.,No.,0
332,No.,No.,1
333,Yes.,No.,0
334,No.,No.,1
335,Yes.,Yes.,1
336,No.,No.,1
337,Yes.,Yes.,1
338,No.,No.,1
339,Yes.,No.,0
340,No.,Yes.,0
341,Yes.,No.,0
342,No.,Yes.,0
343,Yes.,Yes.,1
344,No.,No.,1
345,Yes.,Yes.,1
346,No.,No.,1
347,Yes.,Yes.,1
348,No.,No.,1
349,Yes.,No.,0
350,No.,No.,1
351,Yes.,No.,0
352,No.,No.,1
353,Yes.,Yes.,1
354,No.,No.,1
355,Yes.,No.,0
356,No.,No.,1
357,Yes.,Yes.,1
358,No.,No.,1
359,Yes.,Yes.,1
360,No.,No.,1
361,Yes.,No.,0
362,No.,No.,1
363,Yes.,No.,0
364,No.,No.,1
365,Yes.,Yes.,1
366,No.,No.,1
367,Yes.,Yes.,1
368,No.,No.,1
369,Yes.,No.,0
370,No.,No.,1
371,Yes.,No.,0
372,No.,Yes.,0
373,Yes.,Yes.,1
374,No.,No.,1
375,Yes.,No.,0
376,No.,No.,1
377,Yes.,No.,0
378,No.,No.,1
379,Yes.,No.,0
380,No.,No.,1
381,Yes.,No.,0
382,No.,Yes.,0
383,Yes.,Yes.,1
384,No.,No.,1
385,Yes.,No.,0
386,No.,No.,1
387,Yes.,No.,0
388,No.,Yes.,0
389,Yes.,No.,0
390,No.,No.,1
391,Yes.,No.,0
392,No.,Yes.,0
393,Yes.,Yes.,1
394,No.,Yes.,0
395,Yes.,Yes.,1
396,No.,Yes.,0
397,Yes.,No.,0
398,No.,No.,1
399,Yes.,No.,0
400,No.,No.,1
401,Yes.,No.,0
402,No.,No.,1
403,Yes.,No.,0
404,No.,Yes.,0
405,Yes.,Yes.,1
406,No.,Yes.,0
407,Yes.,No.,0
408,No.,No.,1
409,Yes.,No.,0
410,No.,Yes.,0
411,Yes.,Yes.,1
412,No.,No.,1
413,Yes.,Yes.,1
414,No.,Yes.,0
415,Yes.,No.,0
416,No.,No.,1
417,Yes.,No.,0
418,No.,No.,1
419,Yes.,No.,0
420,No.,Yes.,0
421,Yes.,No.,0
422,No.,No.,1
423,Yes.,No.,0
424,No.,No.,1
425,Yes.,No.,0
426,No.,No.,1
427,Yes.,No.,0
428,No.,Yes.,0
429,Yes.,Yes.,1
430,No.,No.,1
431,Yes.,Yes.,1
432,No.,No.,1
433,Yes.,Yes.,1
434,No.,Yes.,0
435,Yes.,No.,0
436,No.,No.,1
437,Yes.,No.,0
438,No.,Yes.,0
439,Yes.,Yes.,1
440,No.,No.,1
441,Yes.,No.,0
442,No.,No.,1
443,Yes.,No.,0
444,No.,Yes.,0
445,Yes.,Yes.,1
446,No.,No.,1
447,Yes.,Yes.,1
448,No.,Yes.,0
449,Yes.,Yes.,1
450,No.,Yes.,0
451,Yes.,Yes.,1
452,No.,No.,1
453,Yes.,No.,0
454,No.,No.,1
455,Yes.,Yes.,1
456,No.,No.,1
457,Yes.,No.,0
458,No.,No.,1
459,Yes.,No.,0
460,No.,No.,1
461,Yes.,Yes.,1
462,No.,No.,1
463,Yes.,No.,0
464,No.,Yes.,0
465,Yes.,No.,0
466,No.,No.,1
467,Yes.,Yes.,1
468,No.,Yes.,0
469,Yes.,Yes.,1
470,No.,No.,1
471,Yes.,No.,0
472,No.,Yes.,0
473,Yes.,Yes.,1
474,No.,Yes.,0
475,Yes.,No.,0
476,No.,Yes.,0
477,Yes.,No.,0
478,No.,Yes.,0
479,Yes.,Yes.,1
480,No.,No.,1
481,Yes.,Yes.,1
482,No.,No.,1
483,Yes.,No.,0
484,No.,No.,1
485,Yes.,No.,0
486,No.,No.,1
487,Yes.,Yes.,1
488,No.,Yes.,0
489,Yes.,No.,0
490,No.,No.,1
491,Yes.,Yes.,1
492,No.,No.,1
493,Yes.,Yes.,1
494,No.,No.,1
495,Yes.,No.,0
496,No.,Yes.,0
497,Yes.,Yes.,1
498,No.,No.,1
499,Yes.,No.,0
500,No.,No.,1
501,Yes.,Yes.,1
502,No.,No.,1
503,Yes.,No.,0
504,No.,No.,1
505,Yes.,No.,0
506,No.,Yes.,0
507,Yes.,No.,0
508,No.,No.,1
509,Yes.,Yes.,1
510,No.,Yes.,0
511,Yes.,No.,0
512,No.,Yes.,0
513,Yes.,Yes.,1
514,No.,No.,1
515,Yes.,Yes.,1
516,No.,No.,1
517,Yes.,No.,0
518,No.,No.,1
519,Yes.,No.,0
520,No.,No.,1
521,Yes.,No.,0
522,No.,Yes.,0
523,Yes.,No.,0
524,No.,No.,1
525,Yes.,No.,0
526,No.,No.,1
527,Yes.,No.,0
528,No.,Yes.,0
529,Yes.,No.,0
530,No.,Yes.,0
531,Yes.,Yes.,1
532,No.,Yes.,0
533,Yes.,No.,0
534,No.,No.,1
535,Yes.,No.,0
536,No.,No.,1
537,Yes.,Yes.,1
538,No.,Yes.,0
539,Yes.,No.,0
540,No.,No.,1
541,Yes.,No.,0
542,No.,Yes.,0
543,Yes.,Yes.,1
544,No.,No.,1
545,Yes.,Yes.,1
546,No.,No.,1
547,Yes.,No.,0
548,No.,Yes.,0
549,Yes.,No.,0
550,No.,Yes.,0
551,Yes.,No.,0
552,No.,No.,1
553,Yes.,No.,0
554,No.,Yes.,0
555,Yes.,Yes.,1
556,No.,No.,1
557,Yes.,No.,0
558,No.,No.,1
559,Yes.,Yes.,1
560,No.,No.,1
561,Yes.,No.,0
562,No.,Yes.,0
563,Yes.,Yes.,1
564,No.,No.,1
565,Yes.,Yes.,1
566,No.,Yes.,0
567,Yes.,No.,0
568,No.,No.,1
569,Yes.,No.,0
570,No.,No.,1
571,Yes.,Yes.,1
572,No.,No.,1
573,Yes.,Yes.,1
574,No.,Yes.,0
575,Yes.,No.,0
576,No.,No.,1
577,Yes.,Yes.,1
578,No.,No.,1
579,Yes.,Yes.,1
580,No.,Yes.,0
581,Yes.,No.,0
582,No.,No.,1
583,Yes.,No.,0
584,No.,No.,1
585,Yes.,Yes.,1
586,No.,Yes.,0
587,Yes.,No.,0
588,No.,Yes.,0
589,Yes.,Yes.,1
590,No.,No.,1
591,Yes.,No.,0
592,No.,No.,1
593,Yes.,No.,0
594,No.,Yes.,0
595,Yes.,Yes.,1
596,No.,No.,1
597,Yes.,No.,0
598,No.,No.,1
599,Yes.,Yes.,1
600,No.,No.,1
601,Yes.,Yes.,1
602,No.,No.,1
603,Yes.,Yes.,1
604,No.,No.,1
605,Yes.,No.,0
606,No.,No.,1
607,Yes.,No.,0
608,No.,No.,1
609,Yes.,Yes.,1
610,No.,No.,1
611,Yes.,No.,0
612,No.,No.,1
613,Yes.,Yes.,1
614,No.,Yes.,0
615,Yes.,No.,0
616,No.,No.,1
617,Yes.,Yes.,1
618,No.,No.,1
619,Yes.,No.,0
620,No.,No.,1
621,Yes.,Yes.,1
622,No.,No.,1
623,Yes.,No.,0
624,No.,Yes.,0
625,Yes.,Yes.,1
626,No.,No.,1
627,Yes.,No.,0
628,No.,No.,1
629,Yes.,No.,0
630,No.,No.,1
631,Yes.,Yes.,1
632,No.,No.,1
633,Yes.,Yes.,1
634,No.,No.,1
635,Yes.,No.,0
636,No.,No.,1
637,Yes.,No.,0
638,No.,No.,1
639,Yes.,Yes.,1
640,No.,Yes.,0
641,Yes.,No.,0
642,No.,No.,1
643,Yes.,No.,0
644,No.,Yes.,0
645,Yes.,No.,0
646,No.,No.,1
647,Yes.,No.,0
648,No.,No.,1
649,Yes.,No.,0
650,No.,Yes.,0
651,Yes.,Yes.,1
652,No.,No.,1
653,Yes.,No.,0
654,No.,No.,1
655,Yes.,No.,0
656,No.,No.,1
657,Yes.,No.,0
658,No.,Yes.,0
659,Yes.,No.,0
660,No.,No.,1
661,Yes.,Yes.,1
662,No.,Yes.,0
663,Yes.,No.,0
664,No.,No.,1
665,Yes.,Yes.,1
666,No.,No.,1
667,Yes.,Yes.,1
668,No.,No.,1
669,Yes.,Yes.,1
670,No.,No.,1
671,Yes.,Yes.,1
672,No.,No.,1
673,Yes.,Yes.,1
674,No.,Yes.,0
675,Yes.,No.,0
676,No.,No.,1
677,Yes.,Yes.,1
678,No.,No.,1
679,Yes.,Yes.,1
680,No.,No.,1
681,Yes.,No.,0
682,No.,No.,1
683,Yes.,Yes.,1
684,No.,No.,1
685,Yes.,No.,0
686,No.,No.,1
687,Yes.,No.,0
688,No.,Yes.,0
689,Yes.,No.,0
690,No.,No.,1
691,Yes.,Yes.,1
692,No.,No.,1
693,Yes.,No.,0
694,No.,Yes.,0
695,Yes.,No.,0
696,No.,No.,1
697,Yes.,No.,0
698,No.,No.,1
699,Yes.,No.,0
700,No.,No.,1
701,Yes.,Yes.,1
702,No.,Yes.,0
703,Yes.,No.,0
704,No.,No.,1
705,Yes.,No.,0
706,No.,No.,1
707,Yes.,No.,0
708,No.,No.,1
709,Yes.,No.,0
710,No.,No.,1
711,Yes.,Yes.,1
712,No.,No.,1
713,Yes.,Yes.,1
714,No.,No.,1
715,Yes.,Yes.,1
716,No.,No.,1
717,Yes.,No.,0
718,No.,No.,1
719,Yes.,No.,0
720,No.,No.,1
721,Yes.,No.,0
722,No.,No.,1
723,Yes.,Yes.,1
724,No.,No.,1
725,Yes.,Yes.,1
726,No.,No.,1
727,Yes.,No.,0
728,No.,Yes.,0
729,Yes.,No.,0
730,No.,No.,1
731,Yes.,No.,0
732,No.,No.,1
733,Yes.,Yes.,1
734,No.,Yes.,0
735,Yes.,No.,0
736,No.,Yes.,0
737,Yes.,No.,0
738,No.,No.,1
739,Yes.,No.,0
740,No.,No.,1
741,Yes.,Yes.,1
742,No.,Yes.,0
743,Yes.,No.,0
744,No.,Yes.,0
745,Yes.,No.,0
746,No.,Yes.,0
747,Yes.,Yes.,1
748,No.,No.,1
749,Yes.,No.,0
750,No.,Yes.,0
751,Yes.,No.,0
752,No.,Yes.,0
753,Yes.,No.,0
754,No.,No.,1
755,Yes.,No.,0
756,No.,Yes.,0
757,Yes.,No.,0
758,No.,No.,1
759,Yes.,Yes.,1
760,No.,No.,1
761,Yes.,No.,0
762,No.,No.,1
763,Yes.,No.,0
764,No.,No.,1
765,Yes.,No.,0
766,No.,Yes.,0
767,Yes.,No.,0
768,No.,No.,1
769,Yes.,Yes.,1
770,No.,Yes.,0
771,Yes.,No.,0
772,No.,Yes.,0
773,Yes.,Yes.,1
774,No.,Yes.,0
775,Yes.,No.,0
776,No.,No.,1
777,Yes.,Yes.,1
778,No.,No.,1
779,Yes.,Yes.,1
780,No.,No.,1
781,Yes.,No.,0
782,No.,No.,1
783,Yes.,Yes.,1
784,No.,No.,1
785,Yes.,No.,0
786,No.,No.,1
787,Yes.,Yes.,1
788,No.,Yes.,0
789,Yes.,Yes.,1
790,No.,Yes.,0
791,Yes.,Yes.,1
792,No.,No.,1
793,Yes.,No.,0
794,No.,No.,1
795,Yes.,Yes.,1
796,No.,No.,1
797,Yes.,No.,0
798,No.,No.,1
799,Yes.,Yes.,1
800,No.,No.,1
801,Yes.,Yes.,1
802,No.,No.,1
803,Yes.,Yes.,1
804,No.,No.,1
805,Yes.,No.,0
806,No.,Yes.,0
807,Yes.,No.,0
808,No.,No.,1
809,Yes.,Yes.,1
810,No.,No.,1
811,Yes.,No.,0
812,No.,No.,1
813,Yes.,Yes.,1
814,No.,No.,1
815,Yes.,Yes.,1
816,No.,No.,1
817,Yes.,Yes.,1
818,No.,Yes.,0
819,Yes.,No.,0
820,No.,No.,1
821,Yes.,Yes.,1
822,No.,Yes.,0
823,Yes.,No.,0
824,No.,Yes.,0
825,Yes.,Yes.,1
826,No.,No.,1
827,Yes.,Yes.,1
828,No.,No.,1
829,Yes.,No.,0
830,No.,No.,1
831,Yes.,No.,0
832,No.,No.,1
833,Yes.,Yes.,1
834,No.,No.,1
835,Yes.,Yes.,1
836,No.,No.,1
837,Yes.,No.,0
838,No.,Yes.,0
839,Yes.,Yes.,1
840,No.,Yes.,0
841,Yes.,No.,0
842,No.,No.,1
843,Yes.,No.,0
844,No.,Yes.,0
845,Yes.,Yes.,1
846,No.,No.,1
847,Yes.,Yes.,1
848,No.,No.,1
849,Yes.,Yes.,1
850,No.,No.,1
851,Yes.,No.,0
852,No.,No.,1
853,Yes.,Yes.,1
854,No.,Yes.,0
855,Yes.,No.,0
856,No.,Yes.,0
857,Yes.,Yes.,1
858,No.,No.,1
859,Yes.,Yes.,1
860,No.,No.,1
861,Yes.,Yes.,1
862,No.,No.,1
863,Yes.,No.,0
864,No.,Yes.,0
865,Yes.,No.,0
866,No.,No.,1
867,Yes.,No.,0
868,No.,No.,1
869,Yes.,No.,0
870,No.,No.,1
871,Yes.,Yes.,1
872,No.,No.,1
873,Yes.,Yes.,1
874,No.,No.,1
875,Yes.,No.,0
876,No.,Yes.,0
877,Yes.,No.,0
878,No.,No.,1
879,Yes.,Yes.,1
880,No.,No.,1
881,Yes.,No.,0
882,No.,No.,1
883,Yes.,Yes.,1
884,No.,Yes.,0
885,Yes.,No.,0
886,No.,No.,1
887,Yes.,No.,0
888,No.,No.,1
889,Yes.,Yes.,1
890,No.,No.,1
891,Yes.,No.,0
892,No.,No.,1
893,Yes.,Yes.,1
894,No.,No.,1
895,Yes.,Yes.,1
896,No.,No.,1
897,Yes.,No.,0
898,No.,No.,1
899,Yes.,Yes.,1
900,No.,No.,1
901,Yes.,No.,0
902,No.,Yes.,0
903,Yes.,No.,0
904,No.,Yes.,0
905,Yes.,No.,0
906,No.,No.,1
907,Yes.,Yes.,1
908,No.,No.,1
909,Yes.,No.,0
910,No.,No.,1
911,Yes.,No.,0
912,No.,No.,1
913,Yes.,No.,0
914,No.,No.,1
915,Yes.,No.,0
916,No.,No.,1
917,Yes.,Yes.,1
918,No.,Yes.,0
919,Yes.,Yes.,1
920,No.,No.,1
921,Yes.,No.,0
922,No.,No.,1
923,Yes.,Yes.,1
924,No.,No.,1
925,Yes.,Yes.,1
926,No.,Yes.,0
927,Yes.,Yes.,1
928,No.,No.,1
929,Yes.,Yes.,1
930,No.,No.,1
931,Yes.,Yes.,1
932,No.,Yes.,0
933,Yes.,No.,0
934,No.,No.,1
935,Yes.,Yes.,1
936,No.,Yes.,0
937,Yes.,No.,0
938,No.,No.,1
939,Yes.,No.,0
940,No.,No.,1
941,Yes.,Yes.,1
942,No.,No.,1
943,Yes.,Yes.,1
944,No.,No.,1
945,Yes.,No.,0
946,No.,No.,1
947,Yes.,No.,0
948,No.,No.,1
949,Yes.,No.,0
950,No.,No.,1
951,Yes.,No.,0
952,No.,No.,1
953,Yes.,No.,0
954,No.,No.,1
955,Yes.,Yes.,1
956,No.,Yes.,0
957,Yes.,No.,0
958,No.,Yes.,0
959,Yes.,No.,0
960,No.,No.,1
961,Yes.,No.,0
962,No.,No.,1
963,Yes.,No.,0
964,No.,No.,1
965,Yes.,Yes.,1
966,No.,No.,1
967,Yes.,Yes.,1
968,No.,Yes.,0
969,Yes.,No.,0
970,No.,No.,1
971,Yes.,No.,0
972,No.,Yes.,0
973,Yes.,No.,0
974,No.,Yes.,0
975,Yes.,No.,0
976,No.,No.,1
977,Yes.,Yes.,1
978,No.,Yes.,0
979,Yes.,Yes.,1
980,No.,No.,1
981,Yes.,Yes.,1
982,No.,Yes.,0
983,Yes.,No.,0
984,No.,Yes.,0
985,Yes.,No.,0
986,No.,No.,1
987,Yes.,No.,0
988,No.,No.,1
989,Yes.,No.,0
990,No.,No.,1
991,Yes.,No.,0
992,No.,Yes.,0
993,Yes.,Yes.,1
994,No.,No.,1
995,Yes.,Yes.,1
996,No.,No.,1
997,Yes.,No.,0
998,No.,No.,1
999,Yes.,Yes.,1
1000,No.,Yes.,0
1001,Yes.,No.,0
1002,No.,No.,1
1003,Yes.,Yes.,1
1004,No.,Yes.,0
1005,Yes.,No.,0
1006,No.,No.,1
1007,Yes.,Yes.,1
1008,No.,No.,1
1009,Yes.,Yes.,1
1010,No.,Yes.,0
1011,Yes.,No.,0
1012,No.,No.,1
1013,Yes.,Yes.,1
1014,No.,No.,1
1015,Yes.,No.,0
1016,No.,No.,1
1017,Yes.,No.,0
1018,No.,No.,1
1019,Yes.,No.,0
1020,No.,No.,1
1021,Yes.,No.,0
1022,No.,Yes.,0
1023,Yes.,No.,0
1024,No.,No.,1
