ID,Label,Prediction,Result
244,No.,No.,1
245,Yes.,No.,0
246,Yes.,No.,0
247,Yes.,No.,0
248,Yes.,No.,0
249,Yes.,No.,0
250,Yes.,No.,0
251,Yes.,No.,0
252,Yes.,No.,0
253,No.,No.,1
254,Yes.,No.,0
255,No.,No.,1
256,No.,No.,1
257,No.,No.,1
258,No.,No.,1
259,No.,No.,1
260,No.,No.,1
261,No.,No.,1
262,No.,No.,1
263,No.,No.,1
264,Yes.,No.,0
265,Yes.,No.,0
266,No.,No.,1
267,No.,No.,1
268,Yes.,No.,0
269,Yes.,No.,0
270,Yes.,No.,0
271,Yes.,No.,0
272,Yes.,No.,0
273,No.,No.,1
274,No.,No.,1
275,No.,No.,1
276,Yes.,No.,0
277,No.,No.,1
278,Yes.,No.,0
279,No.,No.,1
280,Yes.,No.,0
281,Yes.,No.,0
282,No.,No.,1
283,No.,No.,1
284,No.,No.,1
285,No.,No.,1
286,Yes.,No.,0
287,No.,No.,1
288,Yes.,No.,0
289,Yes.,No.,0
290,No.,No.,1
291,No.,No.,1
292,No.,No.,1
293,Yes.,No.,0
294,No.,No.,1
295,Yes.,No.,0
296,No.,No.,1
297,Yes.,No.,0
298,Yes.,No.,0
299,Yes.,No.,0
300,Yes.,No.,0
301,Yes.,No.,0
302,Yes.,No.,0
303,Yes.,No.,0
304,No.,No.,1
305,Yes.,No.,0
306,No.,No.,1
307,No.,No.,1
308,No.,No.,1
309,No.,No.,1
310,Yes.,No.,0
311,Yes.,No.,0
312,No.,No.,1
313,No.,No.,1
314,Yes.,No.,0
315,No.,No.,1
316,Yes.,No.,0
317,Yes.,No.,0
318,No.,No.,1
319,No.,No.,1
320,No.,No.,1
321,No.,No.,1
322,Yes.,No.,0
323,No.,No.,1
324,Yes.,No.,0
325,No.,No.,1
326,No.,No.,1
327,Yes.,No.,0
328,Yes.,No.,0
329,No.,No.,1
330,No.,No.,1
331,Yes.,No.,0
332,No.,No.,1
333,No.,No.,1
334,No.,No.,1
335,No.,No.,1
336,Yes.,No.,0
337,Yes.,No.,0
338,No.,No.,1
339,No.,No.,1
340,No.,No.,1
341,No.,No.,1
342,Yes.,No.,0
343,No.,No.,1
344,Yes.,No.,0
345,No.,No.,1
346,No.,No.,1
347,No.,No.,1
348,Yes.,No.,0
349,No.,No.,1
350,No.,No.,1
351,No.,No.,1
352,No.,No.,1
353,No.,No.,1
354,No.,No.,1
355,No.,No.,1
356,Yes.,No.,0
357,Yes.,No.,0
358,Yes.,No.,0
359,Yes.,No.,0
360,Yes.,No.,0
361,Yes.,No.,0
362,Yes.,No.,0
363,Yes.,No.,0
364,Yes.,No.,0
365,Yes.,No.,0
366,Yes.,No.,0
367,Yes.,No.,0
368,Yes.,No.,0
369,Yes.,No.,0
370,No.,No.,1
371,Yes.,No.,0
372,Yes.,No.,0
373,No.,No.,1
374,No.,No.,1
375,Yes.,No.,0
376,Yes.,No.,0
377,No.,No.,1
378,Yes.,No.,0
379,Yes.,No.,0
380,Yes.,No.,0
381,No.,No.,1
382,Yes.,No.,0
383,No.,No.,1
384,No.,No.,1
385,Yes.,No.,0
386,Yes.,No.,0
387,Yes.,No.,0
388,No.,No.,1
389,Yes.,No.,0
390,No.,No.,1
391,No.,No.,1
392,Yes.,No.,0
393,Yes.,No.,0
394,Yes.,No.,0
395,Yes.,No.,0
396,Yes.,No.,0
397,Yes.,No.,0
398,No.,No.,1
399,No.,No.,1
400,Yes.,No.,0
401,Yes.,No.,0
402,Yes.,No.,0
403,Yes.,No.,0
404,Yes.,No.,0
405,No.,No.,1
406,No.,No.,1
407,No.,No.,1
408,No.,No.,1
409,No.,No.,1
410,Yes.,No.,0
411,No.,No.,1
412,No.,No.,1
413,No.,No.,1
414,No.,No.,1
415,Yes.,No.,0
416,Yes.,No.,0
417,Yes.,No.,0
418,No.,No.,1
419,No.,No.,1
420,Yes.,No.,0
421,Yes.,No.,0
422,Yes.,No.,0
423,No.,No.,1
424,No.,No.,1
425,No.,No.,1
426,No.,No.,1
427,Yes.,No.,0
428,No.,No.,1
429,Yes.,No.,0
430,No.,No.,1
431,Yes.,No.,0
432,No.,No.,1
433,No.,No.,1
434,No.,No.,1
435,No.,No.,1
436,Yes.,No.,0
437,Yes.,No.,0
438,Yes.,No.,0
439,Yes.,No.,0
440,Yes.,No.,0
441,Yes.,No.,0
442,No.,No.,1
443,No.,No.,1
444,Yes.,No.,0
445,No.,No.,1
446,Yes.,No.,0
447,No.,No.,1
448,No.,No.,1
449,Yes.,No.,0
450,Yes.,No.,0
451,Yes.,No.,0
452,Yes.,No.,0
453,Yes.,No.,0
454,Yes.,No.,0
455,Yes.,No.,0
456,No.,No.,1
457,Yes.,No.,0
458,Yes.,No.,0
459,Yes.,No.,0
460,No.,No.,1
461,No.,No.,1
462,No.,No.,1
463,No.,No.,1
464,Yes.,No.,0
465,No.,No.,1
466,Yes.,No.,0
467,No.,No.,1
468,Yes.,No.,0
469,Yes.,No.,0
470,No.,No.,1
471,No.,No.,1
472,No.,No.,1
473,No.,No.,1
474,No.,No.,1
475,No.,No.,1
476,No.,No.,1
477,Yes.,No.,0
478,No.,No.,1
479,No.,No.,1
480,No.,No.,1
481,No.,No.,1
482,Yes.,No.,0
483,No.,No.,1
484,No.,No.,1
485,Yes.,No.,0
486,Yes.,No.,0
487,Yes.,No.,0
488,No.,No.,1
489,No.,No.,1
490,No.,No.,1
491,Yes.,No.,0
492,No.,No.,1
493,No.,No.,1
494,Yes.,No.,0
495,Yes.,No.,0
496,Yes.,No.,0
497,Yes.,No.,0
498,Yes.,No.,0
499,Yes.,No.,0
500,Yes.,No.,0
501,Yes.,No.,0
502,Yes.,No.,0
503,Yes.,No.,0
504,Yes.,No.,0
505,Yes.,No.,0
506,Yes.,No.,0
507,Yes.,No.,0
508,Yes.,No.,0
509,Yes.,No.,0
510,Yes.,No.,0
511,Yes.,No.,0
512,Yes.,No.,0
513,Yes.,No.,0
514,Yes.,No.,0
515,Yes.,No.,0
516,Yes.,No.,0
517,Yes.,No.,0
518,Yes.,No.,0
519,Yes.,No.,0
520,Yes.,No.,0
521,No.,No.,1
522,No.,No.,1
523,Yes.,No.,0
524,Yes.,No.,0
525,Yes.,No.,0
526,Yes.,No.,0
527,Yes.,No.,0
528,Yes.,No.,0
529,Yes.,No.,0
530,Yes.,No.,0
531,Yes.,No.,0
532,Yes.,No.,0
533,Yes.,No.,0
534,Yes.,No.,0
535,Yes.,No.,0
536,Yes.,No.,0
537,Yes.,No.,0
538,Yes.,No.,0
539,No.,No.,1
540,Yes.,No.,0
541,Yes.,No.,0
542,Yes.,No.,0
543,Yes.,No.,0
544,Yes.,No.,0
545,Yes.,No.,0
546,Yes.,No.,0
547,Yes.,No.,0
548,Yes.,No.,0
549,Yes.,No.,0
550,Yes.,No.,0
551,No.,No.,1
552,Yes.,No.,0
553,No.,No.,1
554,Yes.,No.,0
555,Yes.,No.,0
556,Yes.,No.,0
557,Yes.,No.,0
558,Yes.,No.,0
559,Yes.,No.,0
560,Yes.,No.,0
561,No.,No.,1
562,Yes.,No.,0
563,Yes.,No.,0
564,Yes.,No.,0
565,Yes.,No.,0
566,Yes.,No.,0
567,Yes.,No.,0
568,Yes.,No.,0
569,No.,No.,1
570,No.,No.,1
571,Yes.,No.,0
572,No.,No.,1
573,No.,No.,1
574,Yes.,No.,0
575,No.,No.,1
576,No.,No.,1
577,Yes.,No.,0
578,Yes.,No.,0
579,Yes.,No.,0
580,No.,No.,1
581,Yes.,No.,0
582,No.,No.,1
583,Yes.,No.,0
584,No.,No.,1
585,No.,No.,1
586,No.,No.,1
587,No.,No.,1
588,No.,No.,1
589,No.,No.,1
590,No.,No.,1
591,No.,No.,1
592,Yes.,No.,0
593,Yes.,No.,0
594,No.,No.,1
595,No.,No.,1
596,Yes.,No.,0
597,Yes.,No.,0
598,Yes.,No.,0
599,Yes.,No.,0
600,Yes.,No.,0
601,No.,No.,1
602,No.,No.,1
603,No.,No.,1
604,Yes.,No.,0
605,No.,No.,1
606,No.,No.,1
607,Yes.,No.,0
608,No.,No.,1
609,Yes.,No.,0
610,Yes.,No.,0
611,No.,No.,1
612,No.,No.,1
613,Yes.,No.,0
614,Yes.,No.,0
615,No.,No.,1
616,No.,No.,1
617,No.,No.,1
618,No.,No.,1
619,Yes.,No.,0
620,No.,No.,1
621,Yes.,No.,0
622,No.,No.,1
623,Yes.,No.,0
624,Yes.,No.,0
625,Yes.,No.,0
626,Yes.,No.,0
627,Yes.,No.,0
628,Yes.,No.,0
629,Yes.,No.,0
630,Yes.,No.,0
631,No.,No.,1
632,Yes.,No.,0
633,Yes.,No.,0
634,Yes.,No.,0
635,No.,No.,1
636,No.,No.,1
637,Yes.,No.,0
638,No.,No.,1
639,Yes.,No.,0
640,Yes.,No.,0
641,Yes.,No.,0
642,Yes.,No.,0
643,Yes.,No.,0
644,No.,No.,1
645,Yes.,No.,0
646,Yes.,No.,0
647,No.,No.,1
648,Yes.,No.,0
649,Yes.,No.,0
650,Yes.,No.,0
651,Yes.,No.,0
652,Yes.,No.,0
653,Yes.,No.,0
654,Yes.,No.,0
655,No.,No.,1
656,Yes.,No.,0
657,Yes.,No.,0
658,No.,No.,1
659,Yes.,No.,0
660,Yes.,No.,0
661,No.,No.,1
662,Yes.,No.,0
663,No.,No.,1
664,Yes.,No.,0
665,Yes.,No.,0
666,No.,No.,1
667,Yes.,No.,0
668,Yes.,No.,0
669,Yes.,No.,0
670,Yes.,No.,0
671,No.,No.,1
672,Yes.,No.,0
673,Yes.,No.,0
674,No.,No.,1
675,Yes.,No.,0
676,Yes.,No.,0
677,No.,No.,1
678,Yes.,No.,0
679,Yes.,No.,0
680,Yes.,No.,0
681,Yes.,No.,0
682,No.,No.,1
683,No.,No.,1
684,Yes.,No.,0
685,No.,No.,1
686,No.,No.,1
687,Yes.,No.,0
688,No.,No.,1
689,Yes.,No.,0
690,Yes.,No.,0
691,Yes.,No.,0
692,No.,No.,1
693,Yes.,No.,0
694,Yes.,No.,0
695,Yes.,No.,0
696,No.,No.,1
697,Yes.,No.,0
698,No.,No.,1
699,Yes.,No.,0
700,No.,No.,1
701,Yes.,No.,0
702,Yes.,No.,0
703,Yes.,No.,0
704,Yes.,No.,0
705,Yes.,No.,0
706,Yes.,No.,0
707,Yes.,No.,0
708,No.,No.,1
709,Yes.,No.,0
710,No.,No.,1
711,No.,No.,1
712,No.,No.,1
713,No.,No.,1
714,No.,No.,1
715,No.,No.,1
716,No.,No.,1
717,No.,No.,1
718,Yes.,No.,0
719,No.,No.,1
720,Yes.,No.,0
721,No.,No.,1
722,Yes.,No.,0
723,Yes.,No.,0
724,No.,No.,1
725,No.,No.,1
726,No.,No.,1
727,No.,No.,1
728,No.,No.,1
729,No.,No.,1
730,Yes.,No.,0
731,No.,No.,1
732,No.,No.,1
733,Yes.,No.,0
734,No.,No.,1
735,No.,No.,1
736,No.,No.,1
737,No.,No.,1
738,Yes.,No.,0
739,No.,No.,1
740,Yes.,No.,0
741,Yes.,No.,0
742,No.,No.,1
743,No.,No.,1
744,No.,No.,1
745,No.,No.,1
746,No.,No.,1
747,No.,No.,1
748,No.,No.,1
749,Yes.,No.,0
750,Yes.,No.,0
751,Yes.,No.,0
752,Yes.,No.,0
753,Yes.,No.,0
754,Yes.,No.,0
755,Yes.,No.,0
756,Yes.,No.,0
757,Yes.,No.,0
758,Yes.,No.,0
759,Yes.,No.,0
760,No.,No.,1
761,Yes.,No.,0
762,Yes.,No.,0
763,Yes.,No.,0
764,Yes.,No.,0
765,Yes.,No.,0
766,Yes.,No.,0
767,Yes.,No.,0
768,Yes.,No.,0
769,Yes.,No.,0
770,Yes.,No.,0
771,Yes.,No.,0
772,Yes.,No.,0
773,Yes.,No.,0
774,Yes.,No.,0
775,Yes.,No.,0
776,Yes.,No.,0
777,Yes.,No.,0
778,Yes.,No.,0
779,Yes.,No.,0
780,No.,No.,1
781,No.,No.,1
782,Yes.,No.,0
783,No.,No.,1
784,Yes.,No.,0
785,No.,No.,1
786,No.,No.,1
787,No.,No.,1
788,Yes.,No.,0
789,No.,No.,1
790,Yes.,No.,0
791,Yes.,No.,0
792,No.,No.,1
793,No.,No.,1
794,No.,No.,1
795,No.,No.,1
796,Yes.,No.,0
797,No.,No.,1
798,No.,No.,1
799,No.,No.,1
800,Yes.,No.,0
801,No.,No.,1
802,No.,No.,1
803,Yes.,No.,0
804,No.,No.,1
805,No.,No.,1
806,No.,No.,1
807,Yes.,No.,0
808,Yes.,No.,0
809,Yes.,No.,0
810,No.,No.,1
811,Yes.,No.,0
812,Yes.,No.,0
813,Yes.,No.,0
814,Yes.,No.,0
815,Yes.,No.,0
816,Yes.,No.,0
817,Yes.,No.,0
818,Yes.,No.,0
819,Yes.,No.,0
820,Yes.,No.,0
821,Yes.,No.,0
822,Yes.,No.,0
823,No.,No.,1
824,Yes.,No.,0
825,Yes.,No.,0
826,Yes.,No.,0
827,Yes.,No.,0
828,Yes.,No.,0
829,Yes.,No.,0
830,Yes.,No.,0
831,Yes.,No.,0
832,Yes.,No.,0
833,Yes.,No.,0
834,No.,No.,1
835,Yes.,No.,0
836,Yes.,No.,0
837,No.,No.,1
838,Yes.,No.,0
839,No.,No.,1
840,Yes.,No.,0
841,Yes.,No.,0
842,Yes.,No.,0
843,Yes.,No.,0
844,Yes.,No.,0
845,Yes.,No.,0
846,Yes.,No.,0
847,Yes.,No.,0
848,No.,No.,1
849,Yes.,No.,0
850,Yes.,No.,0
851,Yes.,No.,0
852,Yes.,No.,0
853,No.,No.,1
854,No.,No.,1
855,No.,No.,1
856,Yes.,No.,0
857,Yes.,No.,0
858,Yes.,No.,0
859,No.,No.,1
860,Yes.,No.,0
861,Yes.,No.,0
862,Yes.,No.,0
863,Yes.,No.,0
864,No.,No.,1
865,Yes.,No.,0
866,No.,No.,1
867,Yes.,No.,0
868,Yes.,No.,0
869,Yes.,No.,0
870,Yes.,No.,0
871,Yes.,No.,0
872,Yes.,No.,0
873,No.,No.,1
874,Yes.,No.,0
875,Yes.,No.,0
876,Yes.,No.,0
877,No.,No.,1
878,Yes.,No.,0
879,No.,No.,1
880,Yes.,No.,0
881,Yes.,No.,0
882,No.,No.,1
883,No.,No.,1
884,Yes.,No.,0
885,No.,No.,1
886,No.,No.,1
887,No.,No.,1
888,No.,No.,1
889,Yes.,No.,0
890,Yes.,No.,0
891,No.,No.,1
892,Yes.,No.,0
893,No.,No.,1
894,No.,No.,1
895,No.,No.,1
896,Yes.,No.,0
897,Yes.,No.,0
898,No.,No.,1
899,Yes.,No.,0
900,Yes.,No.,0
901,No.,No.,1
902,No.,No.,1
903,Yes.,No.,0
904,No.,No.,1
905,No.,No.,1
906,No.,No.,1
907,Yes.,No.,0
908,No.,No.,1
909,No.,No.,1
910,Yes.,No.,0
911,Yes.,No.,0
912,Yes.,No.,0
913,Yes.,No.,0
914,Yes.,No.,0
915,Yes.,No.,0
916,Yes.,No.,0
917,Yes.,No.,0
918,Yes.,No.,0
919,Yes.,No.,0
920,No.,No.,1
921,No.,No.,1
922,No.,No.,1
923,No.,No.,1
924,No.,No.,1
925,No.,No.,1
926,No.,No.,1
927,No.,No.,1
928,Yes.,No.,0
929,No.,No.,1
930,No.,No.,1
931,No.,No.,1
932,No.,No.,1
933,No.,No.,1
934,Yes.,No.,0
935,No.,No.,1
936,No.,No.,1
937,No.,No.,1
938,No.,No.,1
939,No.,No.,1
940,No.,No.,1
941,No.,No.,1
942,Yes.,No.,0
943,Yes.,No.,0
944,Yes.,No.,0
945,Yes.,No.,0
946,Yes.,No.,0
947,Yes.,No.,0
948,Yes.,No.,0
949,Yes.,No.,0
950,Yes.,No.,0
951,Yes.,No.,0
952,No.,No.,1
953,Yes.,No.,0
954,Yes.,No.,0
955,No.,No.,1
956,Yes.,No.,0
957,Yes.,No.,0
958,Yes.,No.,0
959,No.,No.,1
960,No.,No.,1
961,No.,No.,1
962,Yes.,No.,0
963,Yes.,No.,0
964,No.,No.,1
965,Yes.,No.,0
966,No.,No.,1
967,No.,No.,1
968,No.,No.,1
969,No.,No.,1
970,No.,No.,1
971,No.,No.,1
972,No.,No.,1
973,No.,No.,1
974,No.,No.,1
975,Yes.,No.,0
976,No.,No.,1
977,Yes.,No.,0
978,No.,No.,1
979,No.,No.,1
980,No.,No.,1
981,No.,No.,1
982,No.,No.,1
983,No.,No.,1
984,Yes.,No.,0
985,Yes.,No.,0
986,No.,No.,1
987,No.,No.,1
988,No.,No.,1
989,Yes.,No.,0
990,Yes.,No.,0
991,Yes.,No.,0
992,No.,No.,1
993,Yes.,No.,0
994,Yes.,No.,0
995,No.,No.,1
996,No.,No.,1
997,Yes.,No.,0
998,Yes.,No.,0
999,Yes.,No.,0
1000,Yes.,No.,0
