ID,Label,Prediction,Result
91,Yes.,Yes.,1
92,No.,No.,1
93,Yes.,Yes.,1
94,No.,No.,1
95,Yes.,Yes.,1
96,No.,No.,1
97,Yes.,No.,0
98,No.,Yes.,0
99,Yes.,Yes.,1
100,No.,No.,1
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,No.,0
104,No.,No.,1
105,Yes.,Yes.,1
106,No.,No.,1
107,Yes.,Yes.,1
108,No.,No.,1
109,Yes.,Yes.,1
110,No.,No.,1
111,Yes.,Yes.,1
112,No.,No.,1
113,Yes.,Yes.,1
114,No.,Yes.,0
115,Yes.,Yes.,1
116,No.,Yes.,0
117,Yes.,Yes.,1
118,No.,Yes.,0
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,Yes.,1
122,No.,No.,1
123,Yes.,Yes.,1
124,No.,No.,1
125,Yes.,Yes.,1
126,No.,No.,1
127,Yes.,Yes.,1
128,No.,Yes.,0
129,Yes.,No.,0
130,No.,No.,1
131,Yes.,Yes.,1
132,No.,No.,1
133,Yes.,Yes.,1
134,No.,No.,1
135,Yes.,Yes.,1
136,No.,Yes.,0
137,Yes.,Yes.,1
138,No.,No.,1
139,Yes.,No.,0
140,No.,No.,1
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,Yes.,1
144,No.,No.,1
145,Yes.,Yes.,1
146,No.,No.,1
147,Yes.,Yes.,1
148,No.,No.,1
149,Yes.,Yes.,1
150,No.,Yes.,0
151,Yes.,Yes.,1
152,No.,No.,1
153,Yes.,No.,0
154,No.,Yes.,0
155,Yes.,Yes.,1
156,No.,No.,1
157,Yes.,Yes.,1
158,No.,Yes.,0
159,Yes.,Yes.,1
160,No.,Yes.,0
161,Yes.,Yes.,1
162,No.,No.,1
163,Yes.,Yes.,1
164,No.,Yes.,0
165,Yes.,Yes.,1
166,No.,Yes.,0
167,Yes.,Yes.,1
168,No.,No.,1
169,Yes.,No.,0
170,No.,No.,1
171,Yes.,Yes.,1
172,No.,Yes.,0
173,Yes.,Yes.,1
174,No.,No.,1
175,Yes.,Yes.,1
176,No.,No.,1
177,Yes.,Yes.,1
178,No.,No.,1
179,Yes.,Yes.,1
180,No.,No.,1
181,Yes.,No.,0
182,No.,Yes.,0
183,Yes.,Yes.,1
184,No.,No.,1
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,Yes.,1
188,No.,No.,1
189,Yes.,Yes.,1
190,No.,No.,1
191,Yes.,Yes.,1
192,No.,No.,1
193,Yes.,Yes.,1
194,No.,No.,1
195,Yes.,Yes.,1
196,No.,Yes.,0
197,Yes.,Yes.,1
198,No.,No.,1
199,Yes.,Yes.,1
200,No.,No.,1
201,Yes.,Yes.,1
202,No.,No.,1
203,Yes.,Yes.,1
204,No.,Yes.,0
205,Yes.,Yes.,1
206,No.,No.,1
207,Yes.,No.,0
208,No.,Yes.,0
209,Yes.,No.,0
210,No.,No.,1
211,Yes.,Yes.,1
212,No.,No.,1
213,Yes.,No.,0
214,No.,Yes.,0
215,Yes.,Yes.,1
216,No.,No.,1
217,Yes.,No.,0
218,No.,No.,1
219,Yes.,Yes.,1
220,No.,No.,1
221,Yes.,Yes.,1
222,No.,Yes.,0
223,Yes.,Yes.,1
224,No.,No.,1
225,Yes.,Yes.,1
226,No.,No.,1
227,Yes.,Yes.,1
228,No.,No.,1
229,Yes.,Yes.,1
230,No.,Yes.,0
231,Yes.,Yes.,1
232,No.,Yes.,0
233,Yes.,Yes.,1
234,No.,No.,1
235,Yes.,No.,0
236,No.,Yes.,0
237,Yes.,Yes.,1
238,No.,No.,1
239,Yes.,Yes.,1
240,No.,No.,1
241,Yes.,Yes.,1
242,No.,Yes.,0
243,Yes.,Yes.,1
244,No.,No.,1
245,Yes.,Yes.,1
246,No.,No.,1
247,Yes.,Yes.,1
248,No.,Yes.,0
249,Yes.,No.,0
250,No.,No.,1
251,Yes.,No.,0
252,No.,No.,1
253,Yes.,Yes.,1
254,No.,No.,1
255,Yes.,Yes.,1
256,No.,No.,1
257,Yes.,Yes.,1
258,No.,No.,1
259,Yes.,No.,0
260,No.,No.,1
261,Yes.,No.,0
262,No.,Yes.,0
263,Yes.,No.,0
264,No.,No.,1
265,Yes.,Yes.,1
266,No.,No.,1
267,Yes.,Yes.,1
268,No.,Yes.,0
269,Yes.,Yes.,1
270,No.,No.,1
271,Yes.,Yes.,1
272,No.,No.,1
273,Yes.,Yes.,1
274,No.,No.,1
275,Yes.,Yes.,1
276,No.,No.,1
277,Yes.,No.,0
278,No.,Yes.,0
279,Yes.,Yes.,1
280,No.,Yes.,0
281,Yes.,Yes.,1
282,No.,No.,1
283,Yes.,No.,0
284,No.,No.,1
285,Yes.,Yes.,1
286,No.,Yes.,0
287,Yes.,Yes.,1
288,No.,No.,1
289,Yes.,Yes.,1
290,No.,No.,1
291,Yes.,No.,0
292,No.,No.,1
293,Yes.,No.,0
294,No.,No.,1
295,Yes.,Yes.,1
296,No.,Yes.,0
297,Yes.,No.,0
298,No.,Yes.,0
299,Yes.,Yes.,1
300,No.,Yes.,0
301,Yes.,Yes.,1
302,No.,No.,1
303,Yes.,No.,0
304,No.,No.,1
305,Yes.,No.,0
306,No.,No.,1
307,Yes.,No.,0
308,No.,Yes.,0
309,Yes.,Yes.,1
310,No.,Yes.,0
311,Yes.,Yes.,1
312,No.,No.,1
313,Yes.,Yes.,1
314,No.,Yes.,0
315,Yes.,No.,0
316,No.,No.,1
317,Yes.,Yes.,1
318,No.,No.,1
319,Yes.,Yes.,1
320,No.,Yes.,0
321,Yes.,Yes.,1
322,No.,No.,1
323,Yes.,Yes.,1
324,No.,No.,1
325,Yes.,Yes.,1
326,No.,No.,1
327,Yes.,Yes.,1
328,No.,Yes.,0
329,Yes.,Yes.,1
330,No.,No.,1
331,Yes.,Yes.,1
332,No.,No.,1
333,Yes.,No.,0
334,No.,No.,1
335,Yes.,No.,0
336,No.,Yes.,0
337,Yes.,Yes.,1
338,No.,No.,1
339,Yes.,Yes.,1
340,No.,No.,1
341,Yes.,Yes.,1
342,No.,Yes.,0
343,Yes.,No.,0
344,No.,Yes.,0
345,Yes.,No.,0
346,No.,No.,1
347,Yes.,Yes.,1
348,No.,No.,1
349,Yes.,No.,0
350,No.,No.,1
351,Yes.,Yes.,1
352,No.,No.,1
353,Yes.,Yes.,1
354,No.,No.,1
355,Yes.,No.,0
356,No.,Yes.,0
357,Yes.,Yes.,1
358,No.,No.,1
359,Yes.,Yes.,1
360,No.,No.,1
361,Yes.,Yes.,1
362,No.,No.,1
363,Yes.,Yes.,1
364,No.,Yes.,0
365,Yes.,Yes.,1
366,No.,Yes.,0
367,Yes.,Yes.,1
368,No.,No.,1
369,Yes.,No.,0
370,No.,Yes.,0
371,Yes.,Yes.,1
372,No.,No.,1
373,Yes.,Yes.,1
374,No.,Yes.,0
375,Yes.,Yes.,1
376,No.,No.,1
377,Yes.,Yes.,1
378,No.,No.,1
379,Yes.,Yes.,1
380,No.,No.,1
381,Yes.,Yes.,1
382,No.,No.,1
383,Yes.,No.,0
384,No.,Yes.,0
385,Yes.,Yes.,1
386,No.,No.,1
387,Yes.,Yes.,1
388,No.,No.,1
389,Yes.,No.,0
390,No.,No.,1
391,Yes.,Yes.,1
392,No.,Yes.,0
393,Yes.,Yes.,1
394,No.,Yes.,0
395,Yes.,No.,0
396,No.,No.,1
397,Yes.,Yes.,1
398,No.,No.,1
399,Yes.,Yes.,1
400,No.,Yes.,0
401,Yes.,Yes.,1
402,No.,Yes.,0
403,Yes.,Yes.,1
404,No.,Yes.,0
405,Yes.,Yes.,1
406,No.,Yes.,0
407,Yes.,Yes.,1
408,No.,No.,1
409,Yes.,Yes.,1
410,No.,No.,1
411,Yes.,Yes.,1
412,No.,Yes.,0
413,Yes.,Yes.,1
414,No.,No.,1
415,Yes.,Yes.,1
416,No.,No.,1
417,Yes.,Yes.,1
418,No.,No.,1
419,Yes.,Yes.,1
420,No.,Yes.,0
421,Yes.,Yes.,1
422,No.,No.,1
423,Yes.,No.,0
424,No.,No.,1
425,Yes.,Yes.,1
426,No.,No.,1
427,Yes.,Yes.,1
428,No.,No.,1
429,Yes.,Yes.,1
430,No.,No.,1
431,Yes.,Yes.,1
432,No.,No.,1
433,Yes.,Yes.,1
434,No.,No.,1
435,Yes.,Yes.,1
436,No.,No.,1
437,Yes.,Yes.,1
438,No.,Yes.,0
439,Yes.,Yes.,1
440,No.,Yes.,0
441,Yes.,Yes.,1
442,No.,No.,1
443,Yes.,No.,0
444,No.,No.,1
445,Yes.,Yes.,1
446,No.,No.,1
447,Yes.,Yes.,1
448,No.,No.,1
449,Yes.,Yes.,1
450,No.,No.,1
451,Yes.,Yes.,1
452,No.,Yes.,0
453,Yes.,No.,0
454,No.,Yes.,0
455,Yes.,No.,0
456,No.,No.,1
457,Yes.,Yes.,1
458,No.,Yes.,0
459,Yes.,No.,0
460,No.,No.,1
461,Yes.,Yes.,1
462,No.,No.,1
463,Yes.,Yes.,1
464,No.,No.,1
465,Yes.,No.,0
466,No.,No.,1
467,Yes.,Yes.,1
468,No.,No.,1
469,Yes.,Yes.,1
470,No.,No.,1
471,Yes.,Yes.,1
472,No.,No.,1
473,Yes.,Yes.,1
474,No.,No.,1
475,Yes.,Yes.,1
476,No.,No.,1
477,Yes.,No.,0
478,No.,No.,1
479,Yes.,Yes.,1
480,No.,No.,1
481,Yes.,Yes.,1
482,No.,No.,1
483,Yes.,Yes.,1
484,No.,Yes.,0
485,Yes.,Yes.,1
486,No.,No.,1
487,Yes.,Yes.,1
488,No.,No.,1
489,Yes.,Yes.,1
490,No.,Yes.,0
491,Yes.,No.,0
492,No.,Yes.,0
493,Yes.,No.,0
494,No.,Yes.,0
495,Yes.,Yes.,1
496,No.,No.,1
497,Yes.,No.,0
498,No.,No.,1
499,Yes.,Yes.,1
500,No.,Yes.,0
501,Yes.,No.,0
502,No.,No.,1
503,Yes.,Yes.,1
504,No.,Yes.,0
505,Yes.,Yes.,1
506,No.,Yes.,0
507,Yes.,No.,0
508,No.,Yes.,0
509,Yes.,Yes.,1
510,No.,No.,1
511,Yes.,Yes.,1
512,No.,No.,1
513,Yes.,Yes.,1
514,No.,No.,1
515,Yes.,Yes.,1
516,No.,No.,1
517,Yes.,Yes.,1
518,No.,No.,1
519,Yes.,Yes.,1
520,No.,No.,1
521,Yes.,Yes.,1
522,No.,No.,1
523,Yes.,Yes.,1
524,No.,Yes.,0
525,Yes.,Yes.,1
526,No.,Yes.,0
527,Yes.,No.,0
528,No.,Yes.,0
529,Yes.,Yes.,1
530,No.,Yes.,0
531,Yes.,Yes.,1
532,No.,Yes.,0
533,Yes.,Yes.,1
534,No.,No.,1
535,Yes.,Yes.,1
536,No.,Yes.,0
537,Yes.,Yes.,1
538,No.,Yes.,0
539,Yes.,Yes.,1
540,No.,No.,1
541,Yes.,Yes.,1
542,No.,No.,1
543,Yes.,Yes.,1
544,No.,No.,1
545,Yes.,No.,0
546,No.,Yes.,0
547,Yes.,Yes.,1
548,No.,Yes.,0
549,Yes.,Yes.,1
550,No.,No.,1
551,Yes.,Yes.,1
552,No.,No.,1
553,Yes.,No.,0
554,No.,No.,1
555,Yes.,Yes.,1
556,No.,No.,1
557,Yes.,No.,0
558,No.,Yes.,0
559,Yes.,Yes.,1
560,No.,No.,1
561,Yes.,Yes.,1
562,No.,Yes.,0
563,Yes.,Yes.,1
564,No.,No.,1
565,Yes.,Yes.,1
566,No.,Yes.,0
567,Yes.,No.,0
568,No.,No.,1
569,Yes.,No.,0
570,No.,Yes.,0
571,Yes.,No.,0
572,No.,No.,1
573,Yes.,Yes.,1
574,No.,No.,1
575,Yes.,Yes.,1
576,No.,Yes.,0
577,Yes.,Yes.,1
578,No.,No.,1
579,Yes.,Yes.,1
580,No.,No.,1
581,Yes.,Yes.,1
582,No.,Yes.,0
583,Yes.,Yes.,1
584,No.,No.,1
585,Yes.,No.,0
586,No.,No.,1
587,Yes.,Yes.,1
588,No.,No.,1
589,Yes.,No.,0
590,No.,Yes.,0
591,Yes.,Yes.,1
592,No.,No.,1
593,Yes.,Yes.,1
594,No.,No.,1
595,Yes.,No.,0
596,No.,No.,1
597,Yes.,Yes.,1
598,No.,No.,1
599,Yes.,Yes.,1
600,No.,Yes.,0
601,Yes.,Yes.,1
602,No.,No.,1
603,Yes.,No.,0
604,No.,Yes.,0
605,Yes.,Yes.,1
606,No.,No.,1
607,Yes.,Yes.,1
608,No.,No.,1
609,Yes.,Yes.,1
610,No.,No.,1
611,Yes.,No.,0
612,No.,No.,1
613,Yes.,No.,0
614,No.,No.,1
615,Yes.,Yes.,1
616,No.,No.,1
617,Yes.,No.,0
618,No.,Yes.,0
619,Yes.,Yes.,1
620,No.,No.,1
621,Yes.,Yes.,1
622,No.,No.,1
623,Yes.,Yes.,1
624,No.,Yes.,0
625,Yes.,Yes.,1
626,No.,Yes.,0
627,Yes.,No.,0
628,No.,Yes.,0
629,Yes.,Yes.,1
630,No.,No.,1
631,Yes.,Yes.,1
632,No.,No.,1
633,Yes.,No.,0
634,No.,Yes.,0
635,Yes.,Yes.,1
636,No.,Yes.,0
637,Yes.,Yes.,1
638,No.,No.,1
639,Yes.,No.,0
640,No.,No.,1
641,Yes.,Yes.,1
642,No.,No.,1
643,Yes.,Yes.,1
644,No.,Yes.,0
645,Yes.,No.,0
646,No.,Yes.,0
647,Yes.,Yes.,1
648,No.,Yes.,0
649,Yes.,No.,0
650,No.,Yes.,0
651,Yes.,Yes.,1
652,No.,No.,1
653,Yes.,Yes.,1
654,No.,Yes.,0
655,Yes.,Yes.,1
656,No.,No.,1
657,Yes.,No.,0
658,No.,Yes.,0
659,Yes.,Yes.,1
660,No.,No.,1
661,Yes.,Yes.,1
662,No.,No.,1
663,Yes.,Yes.,1
664,No.,Yes.,0
665,Yes.,No.,0
666,No.,Yes.,0
667,Yes.,No.,0
668,No.,No.,1
669,Yes.,Yes.,1
670,No.,Yes.,0
671,Yes.,Yes.,1
672,No.,No.,1
673,Yes.,Yes.,1
674,No.,No.,1
675,Yes.,Yes.,1
676,No.,No.,1
677,Yes.,Yes.,1
678,No.,Yes.,0
679,Yes.,Yes.,1
680,No.,Yes.,0
681,Yes.,Yes.,1
682,No.,No.,1
683,Yes.,No.,0
684,No.,No.,1
685,Yes.,Yes.,1
686,No.,No.,1
687,Yes.,No.,0
688,No.,Yes.,0
689,Yes.,No.,0
690,No.,No.,1
691,Yes.,Yes.,1
692,No.,No.,1
693,Yes.,Yes.,1
694,No.,Yes.,0
695,Yes.,No.,0
696,No.,No.,1
697,Yes.,Yes.,1
698,No.,Yes.,0
699,Yes.,Yes.,1
700,No.,Yes.,0
701,Yes.,Yes.,1
702,No.,No.,1
703,Yes.,Yes.,1
704,No.,Yes.,0
705,Yes.,Yes.,1
706,No.,Yes.,0
707,Yes.,No.,0
708,No.,Yes.,0
709,Yes.,No.,0
710,No.,Yes.,0
711,Yes.,Yes.,1
712,No.,No.,1
713,Yes.,Yes.,1
714,No.,No.,1
715,Yes.,Yes.,1
716,No.,No.,1
717,Yes.,Yes.,1
718,No.,No.,1
719,Yes.,Yes.,1
720,No.,No.,1
721,Yes.,No.,0
722,No.,No.,1
723,Yes.,Yes.,1
724,No.,Yes.,0
725,Yes.,No.,0
726,No.,Yes.,0
727,Yes.,No.,0
728,No.,No.,1
729,Yes.,Yes.,1
730,No.,No.,1
731,Yes.,Yes.,1
732,No.,No.,1
733,Yes.,Yes.,1
734,No.,No.,1
735,Yes.,No.,0
736,No.,No.,1
737,Yes.,No.,0
738,No.,No.,1
739,Yes.,Yes.,1
740,No.,Yes.,0
741,Yes.,Yes.,1
742,No.,No.,1
743,Yes.,No.,0
744,No.,No.,1
745,Yes.,No.,0
746,No.,No.,1
747,Yes.,No.,0
748,No.,Yes.,0
749,Yes.,Yes.,1
750,No.,Yes.,0
751,Yes.,Yes.,1
752,No.,Yes.,0
753,Yes.,No.,0
754,No.,No.,1
755,Yes.,No.,0
756,No.,No.,1
757,Yes.,Yes.,1
758,No.,No.,1
759,Yes.,Yes.,1
760,No.,No.,1
761,Yes.,Yes.,1
762,No.,No.,1
763,Yes.,Yes.,1
764,No.,No.,1
765,Yes.,Yes.,1
766,No.,No.,1
767,Yes.,No.,0
768,No.,No.,1
769,Yes.,Yes.,1
770,No.,Yes.,0
771,Yes.,No.,0
772,No.,No.,1
773,Yes.,Yes.,1
774,No.,No.,1
775,Yes.,Yes.,1
776,No.,No.,1
777,Yes.,No.,0
778,No.,Yes.,0
779,Yes.,Yes.,1
780,No.,No.,1
781,Yes.,No.,0
782,No.,No.,1
783,Yes.,Yes.,1
784,No.,Yes.,0
785,Yes.,Yes.,1
786,No.,No.,1
787,Yes.,No.,0
788,No.,No.,1
789,Yes.,Yes.,1
790,No.,No.,1
791,Yes.,Yes.,1
792,No.,No.,1
793,Yes.,Yes.,1
794,No.,No.,1
795,Yes.,Yes.,1
796,No.,No.,1
797,Yes.,Yes.,1
798,No.,No.,1
799,Yes.,Yes.,1
800,No.,No.,1
801,Yes.,Yes.,1
802,No.,No.,1
803,Yes.,No.,0
804,No.,No.,1
805,Yes.,Yes.,1
806,No.,No.,1
807,Yes.,No.,0
808,No.,No.,1
809,Yes.,Yes.,1
810,No.,Yes.,0
811,Yes.,Yes.,1
812,No.,Yes.,0
813,Yes.,Yes.,1
814,No.,Yes.,0
815,Yes.,No.,0
816,No.,No.,1
817,Yes.,Yes.,1
818,No.,No.,1
819,Yes.,No.,0
820,No.,No.,1
821,Yes.,Yes.,1
822,No.,No.,1
823,Yes.,Yes.,1
824,No.,No.,1
825,Yes.,No.,0
826,No.,No.,1
827,Yes.,No.,0
828,No.,No.,1
829,Yes.,Yes.,1
830,No.,No.,1
831,Yes.,Yes.,1
832,No.,No.,1
833,Yes.,Yes.,1
834,No.,Yes.,0
835,Yes.,No.,0
836,No.,No.,1
837,Yes.,Yes.,1
838,No.,No.,1
839,Yes.,Yes.,1
840,No.,Yes.,0
841,Yes.,No.,0
842,No.,Yes.,0
843,Yes.,Yes.,1
844,No.,Yes.,0
845,Yes.,Yes.,1
846,No.,Yes.,0
847,Yes.,Yes.,1
848,No.,No.,1
849,Yes.,Yes.,1
850,No.,Yes.,0
851,Yes.,Yes.,1
852,No.,No.,1
853,Yes.,Yes.,1
854,No.,No.,1
855,Yes.,Yes.,1
856,No.,Yes.,0
857,Yes.,Yes.,1
858,No.,No.,1
859,Yes.,Yes.,1
860,No.,No.,1
861,Yes.,Yes.,1
862,No.,No.,1
863,Yes.,Yes.,1
864,No.,Yes.,0
865,Yes.,Yes.,1
866,No.,No.,1
867,Yes.,Yes.,1
868,No.,No.,1
869,Yes.,No.,0
870,No.,No.,1
871,Yes.,Yes.,1
872,No.,Yes.,0
873,Yes.,No.,0
874,No.,No.,1
875,Yes.,Yes.,1
876,No.,Yes.,0
877,Yes.,Yes.,1
878,No.,No.,1
879,Yes.,Yes.,1
880,No.,No.,1
881,Yes.,No.,0
882,No.,No.,1
883,Yes.,Yes.,1
884,No.,Yes.,0
885,Yes.,Yes.,1
886,No.,No.,1
887,Yes.,Yes.,1
888,No.,No.,1
889,Yes.,Yes.,1
890,No.,Yes.,0
891,Yes.,Yes.,1
892,No.,No.,1
893,Yes.,No.,0
894,No.,No.,1
895,Yes.,Yes.,1
896,No.,No.,1
897,Yes.,Yes.,1
898,No.,Yes.,0
899,Yes.,Yes.,1
900,No.,No.,1
901,Yes.,Yes.,1
902,No.,Yes.,0
903,Yes.,Yes.,1
904,No.,No.,1
905,Yes.,Yes.,1
906,No.,No.,1
907,Yes.,Yes.,1
908,No.,No.,1
909,Yes.,Yes.,1
910,No.,Yes.,0
911,Yes.,Yes.,1
912,No.,No.,1
913,Yes.,Yes.,1
914,No.,No.,1
915,Yes.,Yes.,1
916,No.,Yes.,0
917,Yes.,No.,0
918,No.,No.,1
919,Yes.,Yes.,1
920,No.,No.,1
921,Yes.,Yes.,1
922,No.,No.,1
923,Yes.,Yes.,1
924,No.,No.,1
925,Yes.,Yes.,1
926,No.,No.,1
927,Yes.,Yes.,1
928,No.,Yes.,0
929,Yes.,Yes.,1
930,No.,No.,1
931,Yes.,Yes.,1
932,No.,No.,1
933,Yes.,Yes.,1
934,No.,Yes.,0
935,Yes.,Yes.,1
936,No.,No.,1
937,Yes.,Yes.,1
938,No.,Yes.,0
939,Yes.,No.,0
940,No.,No.,1
941,Yes.,No.,0
942,No.,No.,1
943,Yes.,Yes.,1
944,No.,Yes.,0
945,Yes.,Yes.,1
946,No.,No.,1
947,Yes.,Yes.,1
948,No.,Yes.,0
949,Yes.,Yes.,1
950,No.,Yes.,0
951,Yes.,No.,0
952,No.,Yes.,0
953,Yes.,No.,0
954,No.,Yes.,0
955,Yes.,No.,0
956,No.,No.,1
957,Yes.,Yes.,1
958,No.,No.,1
959,Yes.,Yes.,1
960,No.,No.,1
961,Yes.,Yes.,1
962,No.,No.,1
963,Yes.,Yes.,1
964,No.,Yes.,0
965,Yes.,Yes.,1
966,No.,No.,1
967,Yes.,No.,0
968,No.,Yes.,0
969,Yes.,Yes.,1
970,No.,No.,1
971,Yes.,No.,0
972,No.,No.,1
973,Yes.,Yes.,1
974,No.,Yes.,0
975,Yes.,No.,0
976,No.,No.,1
977,Yes.,Yes.,1
978,No.,Yes.,0
979,Yes.,Yes.,1
980,No.,No.,1
981,Yes.,Yes.,1
982,No.,No.,1
983,Yes.,No.,0
984,No.,No.,1
985,Yes.,Yes.,1
986,No.,Yes.,0
987,Yes.,Yes.,1
988,No.,No.,1
989,Yes.,Yes.,1
990,No.,No.,1
991,Yes.,No.,0
992,No.,No.,1
993,Yes.,Yes.,1
994,No.,No.,1
995,Yes.,Yes.,1
996,No.,No.,1
997,Yes.,No.,0
998,No.,Yes.,0
999,Yes.,Yes.,1
1000,No.,No.,1
1001,Yes.,Yes.,1
1002,No.,No.,1
1003,Yes.,Yes.,1
1004,No.,No.,1
1005,Yes.,Yes.,1
1006,No.,Yes.,0
1007,Yes.,Yes.,1
1008,No.,No.,1
1009,Yes.,Yes.,1
1010,No.,No.,1
1011,Yes.,Yes.,1
1012,No.,No.,1
1013,Yes.,Yes.,1
1014,No.,No.,1
1015,Yes.,Yes.,1
1016,No.,No.,1
1017,Yes.,No.,0
1018,No.,No.,1
1019,Yes.,No.,0
1020,No.,No.,1
1021,Yes.,No.,0
1022,No.,Yes.,0
1023,Yes.,Yes.,1
1024,No.,No.,1
