ID,Label,Prediction,Result
353,Yes.,Yes.,1
354,No.,No.,1
355,Yes.,No.,0
356,No.,No.,1
357,Yes.,No.,0
358,No.,No.,1
359,Yes.,Yes.,1
360,No.,Yes.,0
361,Yes.,Yes.,1
362,No.,No.,1
363,Yes.,No.,0
364,No.,Yes.,0
365,Yes.,Yes.,1
366,No.,No.,1
367,Yes.,Yes.,1
368,No.,Yes.,0
369,Yes.,No.,0
370,No.,No.,1
371,Yes.,No.,0
372,No.,Yes.,0
373,Yes.,Yes.,1
374,No.,No.,1
375,Yes.,No.,0
376,No.,No.,1
377,Yes.,Yes.,1
378,No.,Yes.,0
379,Yes.,Yes.,1
380,No.,No.,1
381,Yes.,Yes.,1
382,No.,No.,1
383,Yes.,Yes.,1
384,No.,No.,1
385,Yes.,Yes.,1
386,No.,No.,1
387,Yes.,Yes.,1
388,No.,No.,1
389,Yes.,No.,0
390,No.,Yes.,0
391,Yes.,Yes.,1
392,No.,No.,1
393,Yes.,Yes.,1
394,No.,No.,1
395,Yes.,Yes.,1
396,No.,No.,1
397,Yes.,Yes.,1
398,No.,Yes.,0
399,Yes.,Yes.,1
400,No.,No.,1
401,Yes.,Yes.,1
402,No.,No.,1
403,Yes.,No.,0
404,No.,No.,1
405,Yes.,Yes.,1
406,No.,Yes.,0
407,Yes.,Yes.,1
408,No.,No.,1
409,Yes.,Yes.,1
410,No.,No.,1
411,Yes.,Yes.,1
412,No.,No.,1
413,Yes.,Yes.,1
414,No.,No.,1
415,Yes.,Yes.,1
416,No.,No.,1
417,Yes.,No.,0
418,No.,Yes.,0
419,Yes.,No.,0
420,No.,Yes.,0
421,Yes.,Yes.,1
422,No.,Yes.,0
423,Yes.,Yes.,1
424,No.,Yes.,0
425,Yes.,Yes.,1
426,No.,Yes.,0
427,Yes.,No.,0
428,No.,Yes.,0
429,Yes.,Yes.,1
430,No.,Yes.,0
431,Yes.,No.,0
432,No.,No.,1
433,Yes.,Yes.,1
434,No.,Yes.,0
435,Yes.,Yes.,1
436,No.,No.,1
437,Yes.,Yes.,1
438,No.,Yes.,0
439,Yes.,Yes.,1
440,No.,Yes.,0
441,Yes.,Yes.,1
442,No.,No.,1
443,Yes.,Yes.,1
444,No.,No.,1
445,Yes.,Yes.,1
446,No.,Yes.,0
447,Yes.,Yes.,1
448,No.,Yes.,0
449,Yes.,Yes.,1
450,No.,Yes.,0
451,Yes.,No.,0
452,No.,Yes.,0
453,Yes.,Yes.,1
454,No.,No.,1
455,Yes.,Yes.,1
456,No.,Yes.,0
457,Yes.,Yes.,1
458,No.,Yes.,0
459,Yes.,Yes.,1
460,No.,No.,1
461,Yes.,Yes.,1
462,No.,No.,1
463,Yes.,Yes.,1
464,No.,No.,1
465,Yes.,Yes.,1
466,No.,No.,1
467,Yes.,Yes.,1
468,No.,No.,1
469,Yes.,No.,0
470,No.,No.,1
471,Yes.,Yes.,1
472,No.,No.,1
473,Yes.,Yes.,1
474,No.,No.,1
475,Yes.,Yes.,1
476,No.,No.,1
477,Yes.,Yes.,1
478,No.,No.,1
479,Yes.,No.,0
480,No.,No.,1
481,Yes.,Yes.,1
482,No.,No.,1
483,Yes.,Yes.,1
484,No.,Yes.,0
485,Yes.,Yes.,1
486,No.,Yes.,0
487,Yes.,Yes.,1
488,No.,No.,1
489,Yes.,Yes.,1
490,No.,No.,1
491,Yes.,Yes.,1
492,No.,No.,1
493,Yes.,Yes.,1
494,No.,No.,1
495,Yes.,Yes.,1
496,No.,No.,1
497,Yes.,Yes.,1
498,No.,No.,1
499,Yes.,Yes.,1
500,No.,No.,1
501,Yes.,Yes.,1
502,No.,Yes.,0
503,Yes.,No.,0
504,No.,No.,1
505,Yes.,Yes.,1
506,No.,Yes.,0
507,Yes.,Yes.,1
508,No.,No.,1
509,Yes.,Yes.,1
510,No.,No.,1
511,Yes.,Yes.,1
512,No.,No.,1
513,Yes.,Yes.,1
514,No.,No.,1
515,Yes.,Yes.,1
516,No.,No.,1
517,Yes.,Yes.,1
518,No.,Yes.,0
519,Yes.,No.,0
520,No.,No.,1
521,Yes.,Yes.,1
522,No.,No.,1
523,Yes.,Yes.,1
524,No.,Yes.,0
525,Yes.,No.,0
526,No.,Yes.,0
527,Yes.,No.,0
528,No.,Yes.,0
529,Yes.,Yes.,1
530,No.,No.,1
531,Yes.,No.,0
532,No.,No.,1
533,Yes.,No.,0
534,No.,Yes.,0
535,Yes.,Yes.,1
536,No.,No.,1
537,Yes.,Yes.,1
538,No.,No.,1
539,Yes.,No.,0
540,No.,No.,1
541,Yes.,Yes.,1
542,No.,Yes.,0
543,Yes.,No.,0
544,No.,No.,1
545,Yes.,Yes.,1
546,No.,No.,1
547,Yes.,Yes.,1
548,No.,Yes.,0
549,Yes.,Yes.,1
550,No.,No.,1
551,Yes.,Yes.,1
552,No.,No.,1
553,Yes.,Yes.,1
554,No.,No.,1
555,Yes.,No.,0
556,No.,Yes.,0
557,Yes.,No.,0
558,No.,No.,1
559,Yes.,No.,0
560,No.,No.,1
561,Yes.,Yes.,1
562,No.,No.,1
563,Yes.,Yes.,1
564,No.,No.,1
565,Yes.,No.,0
566,No.,Yes.,0
567,Yes.,Yes.,1
568,No.,No.,1
569,Yes.,Yes.,1
570,No.,Yes.,0
571,Yes.,Yes.,1
572,No.,Yes.,0
573,Yes.,No.,0
574,No.,No.,1
575,Yes.,Yes.,1
576,No.,No.,1
577,Yes.,Yes.,1
578,No.,No.,1
579,Yes.,Yes.,1
580,No.,Yes.,0
581,Yes.,No.,0
582,No.,Yes.,0
583,Yes.,Yes.,1
584,No.,No.,1
585,Yes.,Yes.,1
586,No.,Yes.,0
587,Yes.,No.,0
588,No.,No.,1
589,Yes.,No.,0
590,No.,Yes.,0
591,Yes.,Yes.,1
592,No.,No.,1
593,Yes.,Yes.,1
594,No.,No.,1
595,Yes.,Yes.,1
596,No.,Yes.,0
597,Yes.,Yes.,1
598,No.,No.,1
599,Yes.,Yes.,1
600,No.,No.,1
601,Yes.,Yes.,1
602,No.,Yes.,0
603,Yes.,Yes.,1
604,No.,No.,1
605,Yes.,Yes.,1
606,No.,No.,1
607,Yes.,Yes.,1
608,No.,No.,1
609,Yes.,Yes.,1
610,No.,No.,1
611,Yes.,Yes.,1
612,No.,No.,1
613,Yes.,Yes.,1
614,No.,Yes.,0
615,Yes.,Yes.,1
616,No.,Yes.,0
617,Yes.,Yes.,1
618,No.,No.,1
619,Yes.,Yes.,1
620,No.,No.,1
621,Yes.,Yes.,1
622,No.,No.,1
623,Yes.,Yes.,1
624,No.,No.,1
625,Yes.,Yes.,1
626,No.,No.,1
627,Yes.,Yes.,1
628,No.,Yes.,0
629,Yes.,Yes.,1
630,No.,No.,1
631,Yes.,Yes.,1
632,No.,Yes.,0
633,Yes.,Yes.,1
634,No.,No.,1
635,Yes.,Yes.,1
636,No.,Yes.,0
637,Yes.,No.,0
638,No.,No.,1
639,Yes.,Yes.,1
640,No.,Yes.,0
641,Yes.,Yes.,1
642,No.,Yes.,0
643,Yes.,Yes.,1
644,No.,No.,1
645,Yes.,Yes.,1
646,No.,No.,1
647,Yes.,Yes.,1
648,No.,Yes.,0
649,Yes.,Yes.,1
650,No.,Yes.,0
651,Yes.,Yes.,1
652,No.,No.,1
653,Yes.,Yes.,1
654,No.,No.,1
655,Yes.,Yes.,1
656,No.,Yes.,0
657,Yes.,No.,0
658,No.,Yes.,0
659,Yes.,Yes.,1
660,No.,Yes.,0
661,Yes.,Yes.,1
662,No.,No.,1
663,Yes.,No.,0
664,No.,Yes.,0
665,Yes.,Yes.,1
666,No.,No.,1
667,Yes.,Yes.,1
668,No.,No.,1
669,Yes.,No.,0
670,No.,Yes.,0
671,Yes.,No.,0
672,No.,No.,1
673,Yes.,Yes.,1
674,No.,No.,1
675,Yes.,Yes.,1
676,No.,No.,1
677,Yes.,Yes.,1
678,No.,No.,1
679,Yes.,No.,0
680,No.,Yes.,0
681,Yes.,Yes.,1
682,No.,No.,1
683,Yes.,Yes.,1
684,No.,No.,1
685,Yes.,Yes.,1
686,No.,No.,1
687,Yes.,Yes.,1
688,No.,No.,1
689,Yes.,Yes.,1
690,No.,Yes.,0
691,Yes.,Yes.,1
692,No.,No.,1
693,Yes.,Yes.,1
694,No.,No.,1
695,Yes.,Yes.,1
696,No.,No.,1
697,Yes.,Yes.,1
698,No.,No.,1
699,Yes.,Yes.,1
700,No.,Yes.,0
701,Yes.,No.,0
702,No.,No.,1
703,Yes.,Yes.,1
704,No.,Yes.,0
705,Yes.,No.,0
706,No.,No.,1
707,Yes.,Yes.,1
708,No.,Yes.,0
709,Yes.,Yes.,1
710,No.,No.,1
711,Yes.,No.,0
712,No.,No.,1
713,Yes.,Yes.,1
714,No.,Yes.,0
715,Yes.,Yes.,1
716,No.,No.,1
717,Yes.,Yes.,1
718,No.,Yes.,0
719,Yes.,Yes.,1
720,No.,No.,1
721,Yes.,No.,0
722,No.,No.,1
723,Yes.,No.,0
724,No.,No.,1
725,Yes.,Yes.,1
726,No.,No.,1
727,Yes.,Yes.,1
728,No.,Yes.,0
729,Yes.,Yes.,1
730,No.,Yes.,0
731,Yes.,Yes.,1
732,No.,No.,1
733,Yes.,Yes.,1
734,No.,No.,1
735,Yes.,Yes.,1
736,No.,No.,1
737,Yes.,No.,0
738,No.,Yes.,0
739,Yes.,Yes.,1
740,No.,No.,1
741,Yes.,Yes.,1
742,No.,No.,1
743,Yes.,Yes.,1
744,No.,No.,1
745,Yes.,No.,0
746,No.,No.,1
747,Yes.,Yes.,1
748,No.,Yes.,0
749,Yes.,Yes.,1
750,No.,No.,1
751,Yes.,No.,0
752,No.,Yes.,0
753,Yes.,Yes.,1
754,No.,Yes.,0
755,Yes.,No.,0
756,No.,No.,1
757,Yes.,No.,0
758,No.,Yes.,0
759,Yes.,Yes.,1
760,No.,No.,1
761,Yes.,Yes.,1
762,No.,Yes.,0
763,Yes.,Yes.,1
764,No.,No.,1
765,Yes.,Yes.,1
766,No.,Yes.,0
767,Yes.,No.,0
768,No.,No.,1
769,Yes.,Yes.,1
770,No.,Yes.,0
771,Yes.,Yes.,1
772,No.,No.,1
773,Yes.,Yes.,1
774,No.,No.,1
775,Yes.,No.,0
776,No.,No.,1
777,Yes.,Yes.,1
778,No.,No.,1
779,Yes.,Yes.,1
780,No.,No.,1
781,Yes.,No.,0
782,No.,No.,1
783,Yes.,Yes.,1
784,No.,No.,1
785,Yes.,Yes.,1
786,No.,No.,1
787,Yes.,Yes.,1
788,No.,No.,1
789,Yes.,Yes.,1
790,No.,Yes.,0
791,Yes.,Yes.,1
792,No.,No.,1
793,Yes.,Yes.,1
794,No.,No.,1
795,Yes.,Yes.,1
796,No.,Yes.,0
797,Yes.,No.,0
798,No.,No.,1
799,Yes.,Yes.,1
800,No.,Yes.,0
801,Yes.,Yes.,1
802,No.,Yes.,0
803,Yes.,Yes.,1
804,No.,Yes.,0
805,Yes.,No.,0
806,No.,No.,1
807,Yes.,Yes.,1
808,No.,No.,1
809,Yes.,Yes.,1
810,No.,Yes.,0
811,Yes.,Yes.,1
812,No.,Yes.,0
813,Yes.,Yes.,1
814,No.,Yes.,0
815,Yes.,No.,0
816,No.,Yes.,0
817,Yes.,Yes.,1
818,No.,No.,1
819,Yes.,Yes.,1
820,No.,No.,1
821,Yes.,Yes.,1
822,No.,No.,1
823,Yes.,No.,0
824,No.,Yes.,0
825,Yes.,Yes.,1
826,No.,Yes.,0
827,Yes.,No.,0
828,No.,No.,1
829,Yes.,No.,0
830,No.,Yes.,0
831,Yes.,Yes.,1
832,No.,No.,1
833,Yes.,Yes.,1
834,No.,No.,1
835,Yes.,Yes.,1
836,No.,No.,1
837,Yes.,Yes.,1
838,No.,No.,1
839,Yes.,Yes.,1
840,No.,Yes.,0
841,Yes.,No.,0
842,No.,No.,1
843,Yes.,Yes.,1
844,No.,Yes.,0
845,Yes.,Yes.,1
846,No.,No.,1
847,Yes.,No.,0
848,No.,Yes.,0
849,Yes.,Yes.,1
850,No.,No.,1
851,Yes.,Yes.,1
852,No.,No.,1
853,Yes.,Yes.,1
854,No.,Yes.,0
855,Yes.,Yes.,1
856,No.,No.,1
857,Yes.,Yes.,1
858,No.,Yes.,0
859,Yes.,Yes.,1
860,No.,No.,1
861,Yes.,Yes.,1
862,No.,No.,1
863,Yes.,No.,0
864,No.,No.,1
865,Yes.,Yes.,1
866,No.,Yes.,0
867,Yes.,Yes.,1
868,No.,No.,1
869,Yes.,No.,0
870,No.,Yes.,0
871,Yes.,No.,0
872,No.,No.,1
873,Yes.,Yes.,1
874,No.,Yes.,0
875,Yes.,No.,0
876,No.,No.,1
877,Yes.,Yes.,1
878,No.,No.,1
879,Yes.,No.,0
880,No.,No.,1
881,Yes.,No.,0
882,No.,No.,1
883,Yes.,No.,0
884,No.,Yes.,0
885,Yes.,Yes.,1
886,No.,No.,1
887,Yes.,Yes.,1
888,No.,Yes.,0
889,Yes.,No.,0
890,No.,No.,1
891,Yes.,Yes.,1
892,No.,No.,1
893,Yes.,Yes.,1
894,No.,No.,1
895,Yes.,No.,0
896,No.,Yes.,0
897,Yes.,Yes.,1
898,No.,No.,1
899,Yes.,Yes.,1
900,No.,No.,1
901,Yes.,Yes.,1
902,No.,Yes.,0
903,Yes.,Yes.,1
904,No.,No.,1
905,Yes.,Yes.,1
906,No.,Yes.,0
907,Yes.,Yes.,1
908,No.,No.,1
909,Yes.,Yes.,1
910,No.,Yes.,0
911,Yes.,Yes.,1
912,No.,Yes.,0
913,Yes.,No.,0
914,No.,Yes.,0
915,Yes.,Yes.,1
916,No.,No.,1
917,Yes.,No.,0
918,No.,No.,1
919,Yes.,No.,0
920,No.,Yes.,0
921,Yes.,Yes.,1
922,No.,No.,1
923,Yes.,No.,0
924,No.,No.,1
925,Yes.,No.,0
926,No.,No.,1
927,Yes.,Yes.,1
928,No.,No.,1
929,Yes.,Yes.,1
930,No.,Yes.,0
931,Yes.,Yes.,1
932,No.,No.,1
933,Yes.,No.,0
934,No.,No.,1
935,Yes.,Yes.,1
936,No.,No.,1
937,Yes.,No.,0
938,No.,No.,1
939,Yes.,Yes.,1
940,No.,Yes.,0
941,Yes.,No.,0
942,No.,No.,1
943,Yes.,Yes.,1
944,No.,No.,1
945,Yes.,Yes.,1
946,No.,No.,1
947,Yes.,Yes.,1
948,No.,No.,1
949,Yes.,Yes.,1
950,No.,No.,1
951,Yes.,Yes.,1
952,No.,No.,1
953,Yes.,Yes.,1
954,No.,No.,1
955,Yes.,Yes.,1
956,No.,No.,1
957,Yes.,Yes.,1
958,No.,No.,1
959,Yes.,No.,0
960,No.,Yes.,0
961,Yes.,Yes.,1
962,No.,No.,1
963,Yes.,No.,0
964,No.,Yes.,0
965,Yes.,Yes.,1
966,No.,No.,1
967,Yes.,Yes.,1
968,No.,No.,1
969,Yes.,Yes.,1
970,No.,No.,1
971,Yes.,Yes.,1
972,No.,Yes.,0
973,Yes.,Yes.,1
974,No.,No.,1
975,Yes.,Yes.,1
976,No.,No.,1
977,Yes.,Yes.,1
978,No.,No.,1
979,Yes.,Yes.,1
980,No.,No.,1
981,Yes.,Yes.,1
982,No.,No.,1
983,Yes.,Yes.,1
984,No.,No.,1
985,Yes.,Yes.,1
986,No.,No.,1
987,Yes.,Yes.,1
988,No.,Yes.,0
989,Yes.,No.,0
990,No.,No.,1
991,Yes.,No.,0
992,No.,No.,1
993,Yes.,Yes.,1
994,No.,Yes.,0
995,Yes.,Yes.,1
996,No.,Yes.,0
997,Yes.,Yes.,1
998,No.,No.,1
999,Yes.,No.,0
1000,No.,No.,1
1001,Yes.,Yes.,1
1002,No.,Yes.,0
1003,Yes.,Yes.,1
1004,No.,No.,1
1005,Yes.,Yes.,1
1006,No.,Yes.,0
1007,Yes.,No.,0
1008,No.,No.,1
1009,Yes.,Yes.,1
1010,No.,No.,1
1011,Yes.,Yes.,1
1012,No.,Yes.,0
1013,Yes.,Yes.,1
1014,No.,No.,1
1015,Yes.,Yes.,1
1016,No.,No.,1
1017,Yes.,Yes.,1
1018,No.,No.,1
1019,Yes.,No.,0
1020,No.,No.,1
1021,Yes.,Yes.,1
1022,No.,No.,1
1023,Yes.,Yes.,1
1024,No.,No.,1
